Short Name,Default Species,Default Gender,Heart Color,Short Backstory,Teams,Alias,Full Name,Birth Place,Birth Day,Default LV,Default Height/Length (Cm),Default Weight/Mass (Kg),Aura Color,Hidden Type,Favorite Items
Hadrian,Absol,Male,Iridescent,"Hadrian is a professor of Solstice Village. His subjects are Evolution, Devolution, Megaevolution, Awakening, Berserk, Egg moves, Offspring calculation, and Breeding. Due to his immense power, people keep confusing him for Anto, despite clearly looking very different to people who know what Anto looks like. Despite the Absol line cannot evolve, he spent a long time researching Evolution all over the Air Continent and the Water Continent, and even contacting a few humans, before he mastered Megaevolution with them. Nowadays, he researches Devolution with the Academy, and rewards students who find out anything about it, especially if they find any use cases that make such a counterintuitive process actually useful. He is very protective of his students.",N/A,TODO,Hadrianus Seraphim,Dragon Continent,TODO,86,119 ~ 120,49 ~ 52,Elegant Violet,Flying,TODO
Hal,Sylveon,Male,Iridescent,"A Sylveon that got lost in floor 1 of Foreboding Forest and had to be rescued by Vega and Lyra. Wow, for being a dragon slayer, he sure is a huge bottom. Despite this, he somehow managed to become the mayor of Eevellage, despite his massive confidence issues and always having to ask Ton for advice.",N/A,TODO,Halcyone Beri,Water Continent,2006-10-30,66,39 ~ 93,6 ~ 21,Energetic Yellow,Fire,TODO
Hank,Mamoswine,Male,Standard,"Hank lived in Sand Continent. His rival is Frank, while he seems to be good friends with Ingri. When Frank started training like hell, he followed behind, not to be outdone by him. He was slightly devastated when he found out Mamoswine couldn't Megaevolve, while Aggron could, but he also found out Frank can't stay Megaevolved for too long without going berserk, due to not having a human to stabilizie him. He often uses this to his advantage to defeat him, which only makes Frank angrier and stronger. They often headbutt, until an outlaw interrupts them, then they team up to kick the outlaw into space, before resuming their fighting as if nothing happened.",N/A,TODO,Hankor Payne,Sand Continent,TODO,TODO,TODO,TODO,Refreshing Green,Bug,TODO
Hansel,Azurill,Male,Standard,"Hansel is the younger brother of Gretel. Their mother Aenor is ill; so they do errands for her; such as the shopping; while also looking for a Water Float that they had lost, and needed to heal Aenor. When Vega picks up an Apple that Hansel dropped; he experiences his ''first'' Dimensional Scream. Hansel is later taken to Mt. Bristle by Herman and must be rescued by Vega and Lyra. The Water Float eventually turns up at the end of Amp Plains. Later Hansel falls into a nightmare and cannot be woken. Vega and Lyra get help from Herman to  enter Hansel's dreams and try to find out why. Hansel is woken by Cresselia once Hades was revealed.",Tidal,TODO,Hansel Marida,Grass Continent,TODO,TODO,TODO,TODO,Clear Aqua Blue,Rock,TODO
Heki,Tapu Koko,Unknown,Shiny,TODO,N/A,TODO,Hekili,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Helen,Nidoqueen,Female,Standard,Paris's wife. What? What did you expect? A Rayquaza~?,N/A,TODO,Helenia Basilium,Fire Continent,TODO,73,44 ~ 83 ~ 145,7 ~ 24 ~ 73,Clear Aqua Blue,Water,TODO
Henry,Espeon,Male,Iridescent,An Eevee turned Espeon bartender in the Eevellage's Rest. Likes Rachel a lot. Drinks a lot. Faints a lot. Also performs maintenance of the Containment Daycare.,N/A,TODO,Henrikus Navarro,TODO,TODO,86,36 ~ 87,7 ~ 28,Smart Marine Blue,Electric,TODO
Herman,Drowzee,Male,Shiny,"Herman was a former outlaw known for never leaving any trace of his previous crimes. He traveled to Treasure Town and was helping [MARILL] and [AZURILL] find their Water Float. He lured [AZURILL] to Mount Bristle and was going to force her to crawl inside a tiny hole to get him treasure. He somehow got spotted by Vega and Lyra and got swiftly defeated and arrested. Vega's Dimensional Scream allowed him to figure out what Herman was doing, which is usually impossible due to how he operated. About a year later, he gets out of jail and travels to Mount Travail, reformed and living in isolation as a monk. He helped Vega and Lyra get into [AZURILL]'s nightmare, and sometimes sends letters and Sky Gifts to Treasure Town. He doesn't want anyone to know where he is except Vega and Lyra.",N/A,TODO,Hermannus Breiner,Grass Continent,TODO,96,99 ~ 157,41 ~ 81,Smart Marine Blue,Dark,TODO
Hilda,Gardevoir,Female,Shiny,"Hildegarde found Giuda when she was still a Kirlia, and found out he was a Trainer. Trainers barely existed at the time, so out of curiosity, she joined his team. He trained her until she evolved, devoting her entire life to him, until they once entered a dungeon where [NINETALES] was. Giuda pulled on [NINETALES]'s tails, so she tried to put a curse on the Trainer, but Hilda got in the way and absorbed the curse. [NINETALES] would have undone the curse after seeing how much his Pokémon cared for her Trainer, but the Trainer ran away and abandoned Hilda, leaving her to become an agent of spirits. As the world faced extinction, Hilda summoned Evelyn, another human. Hilda knew Eve was the exact kind of person who would save everyone, but Eve was not confident due to her own life experiences. To put Eve to the test and prove she was worthy, Hilda erased Eve's memory so she could fulfill her role with a clear mind. Eve even decided to become a Pokemon to fight alongside her friends, which surprised Hilda, but she ultimately granted her wish. Eventually, as Eve proved herself worthy, her dreams slowly allowed Hilda to reconnect with her, and lead her to her own duty. Once Eve, Adam, and [RAYQUAZA] destroyed the falling star, Hilda tells Eve that their time as a Pokémon was over and that they were to return to the human world. Hilda also became dormant. Many months later, however, she found herself awake, alive, and existing, back in Eve's house, with near complete amnesia. Eve reveals to her that she somehow managed to save Hilda from the curse, but doesn't tell her that Giuda became a Gengar. She stays with Team Ganden for a while, but afterwards decides to seek her own fate. One thing lead to another, and she joined Barbara to create Team Charm, joined shortly after by Pauline, who claims to have known Hilda in the past. As of today, she temporarily left Team Charm to go on a pilgrimage, without even disclosing why.","Charm, Ganden","The Air Summoner, The Agent Of Spirits",Hildegarde,Air Continent,TODO,185,TODO,TODO,Vivid Pink,Ice,TODO
Hiro,Rockruff,Female,Iridescent,Björk,Unity,TODO,Hiroko Asaki,Dragon Continent,2009-09-09,255,47 ~ 77 ~ 100 ~ 101,9 ~ 24 ~ 25 ~ 25,Mystic Purple,Fairy,TODO
Hoko,Sandslash (Delta),Male,Standard,"Hokori and Kenkyo are recently married Sandslashes who formed Battle Team Spindash. Kenkyo was born in Fire Continent, while Hokori was born in Dragon Continent, so they can easily be told apart by whether or not they're a Delta. Despite being a Battle Team, they don't do a lot of battling, instead they spend a lot of time doing many different jobs, still figuring out what they're best at other than battling.",Spindash,TODO,Hokori Kaze,Sand Continent,TODO,63,72 ~ 134,43 ~ 60,Vivid Pink,Normal,TODO
Hugo,Primeape,Male,Standard,"A gang of Mankeys were causing havoc in Uproar Forest. Eve and Adam defeated them, and later found them near their Team Base, wanting to fight again. However, upon seeing the peeled Chestnuts in their possession, they agree to renovate the Team Base in return for peeled Chestnuts. One of them became, uh, no longer wild, and finally managed to relax in the Secret Waterfall's Hot Springs with [TORKOAL]. He now sells Chestnuts. Because of course he does.",N/A,TODO,Hughard,Air Continent,TODO,TODO,TODO,TODO,Mystic Purple,Fairy,TODO
Ifrit,Houndoom,Male,Standard,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Ina,Ninetales,Female,Iridescent,TODO,N/A,TODO,Inari Zenko,Air Continent,TODO,TODO,48 ~ 108,6 ~ 20,Vivid Pink,Dark,TODO
Inferno,Entei ,TODO,Standard,"Inferno was the ruler of Fiery Field, said to also be the leader of the three Legendary Beasts. He gets challenged, and somehow defeated by Eve and Adam, which ask him to turn the Clear Wing into a Red Wing. He gets turned to stone by Nobu alongside Surge and Deluge, and in the Voidlands, he devises a plan with Onna to bring Cooper and Selene back to the surface, pretending to command them while sending them past the Door Of Light at the last second.",N/A,TODO,Inferno,Air Continent,TODO,TODO,TODO,TODO,Subdued Brown,Flying,TODO
Ingi,Electivire,Male,Standard,They can link moves... oh god... somebody stop them...,Move Linkers,TODO,Ingulf Brune,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Ingri,Shuckle,Male,Standard,"Ingriam was the very first Pokemon rescued by Team Advent. He loves food and drinks. On a vacation to Treasure Town, he found out about [SPINDA]'s bar. He became her apprentice and learned her ''secret sauce'', then became fascinated with [SPINDA]'s drinks sometimes having stat boosting properties. He moved to Fire Continent, below the Guildmaster Trail, and traveled from camp to camp to research the perfect drink, focusing more on growth properties than, uh, taste.",N/A,TODO,Ingriam Sommer,Sand Continent,TODO,TODO,TODO,TODO,Elegant Violet,Dark,TODO
Ito,Victini,Male,Shiny,Opens up the V-Wheel shop in Pokémon Paradise after he crashes down on the sign set up by Jerome. He has an ecstatic attitude and often gets excited especially about his wheel.,N/A,TODO,Itone Hino,TODO,TODO,150,40,4,Energetic Yellow,Electric,TODO
Ivory,Wigglytuff,Female,Iridescent,"When Ebony and Ivory got married, their heart turned shiny. They eventually bought a house west of Murky Forest and had a kid named Puck. One day; Ivory gave Puck some Gummis to share with his friends. Puck ended up also using these Gummis to make friends with the bullies Dora and Orion; then went to the Murky Forest with them. Ivory and Ebony were pleased when Puck told them he had made a new friend—Aldwin—not realizing he was an outlaw. When Paris informed them that Puck was traveling with an outlaw through Fortune Ravine, they accompanied him to apprehend Aldwin and save Puck. Inspired by Puck becoming a world class Explorer and Guildmaster, her heart became Iridescent, and she now travels back and forth between Murky Forest and Square Town with Ebony.",N/A,The Mother Of All Things Bad,Ivory Pomeroy,Grass Continent,TODO,TODO,TODO,TODO,Deep Green,Dragon,TODO
Jack,Magnezone,Unknown,Shiny,"The sheriff of team M.P.D., infamous for never letting any Outlaw escape from jail once another Team has apprehended them, until they did their proper time. Over time he became one of the most powerful sheriffs around, and his patrol schedule can span entire continents. He usually brings two Magnemites as assistant officers. His favorite officers are Magne and Charl. After seeing the outburst of outlaws in Sand Continent, his heart became Shiny with resolve.",M.P.D.,Holder Of Authority,Jacob Rodewald,Air Continent,TODO,TODO,TODO,TODO,Mystic Purple,Fighting,TODO
Jen,Audino,Female,Standard,"Jen is Serene Village and Serene School's doctor. She often refuses to discuss her past, but she seems very caring about everyone, especially young Pokemon. Sometimes, in the summer, she gets invited for a few shifts in Swanun's, as the inn's nurse.",N/A,TODO,Jennifer Es Cade,Water Continent,TODO,175,98,28,Gentle Mint Green,Fighting,TODO
Jeon,Pachirisu,Female,Iridescent,TODO,Crown,TODO,Jeongi Park,Grass Continent,TODO,200,78,11,Fiery Red,Ground,TODO
Jerome,Quagsire,Male,Standard,"Jerome was one of Puck's childhood friends, along with Digeir and Sayi. Jerome hates criminals, and still resents Aldwin for not immediately telling Puck that he was an outlaw before adventuring together, but was eventually glad that Puck became a Guildmaster. This inspired him to move to Mist Continent's Post Town, which is notorious for having little police activity, and start his own Team Drill, an organization that provides controversial, but very effective punishment on outlaws arrested by other teams. Despite this, he spends plenty of time outside of his team work to help the townsfolks, sell land, and give advice from the few times he adventured with Puck. He sold an arid land to Dairou and Tsutami, and started helping them a lot worried that such a low quality land, and the upsurge of outlaws, would cause their projects to fail. Instead, it became a Paradise Guild. He opened a shop in it and has been working as the Paradise's manager ever since, alongside a very terrified Gary. Seems to be a quiet, calm, peaceful, and mature Pokemon, despite his hatred towards Outlaws. He is known to be very emotional on occasion, often breaking into happy tears, especially around Dairou and Tsutami, Puck, or other Pokémon he deeply cares about. He mumbles a lot when thinking, and his speech is filled with ""mmmm""s and ""hmmm""s.",Drill,TODO,Jeronimo Alexis,Grass Continent,TODO,60,39 ~ 155,8 ~ 79,Subdued Brown,Steel,TODO
Jerry,Swampert,Male,Standard,"Jerry has been part of Team Hydro for a long while, but very little is known about him. He seems immensely strong, but almost never talks, often staying by the sidelines, unless he's mentioned by Bryce. He only seems to trust Bryce, and on rare occasions, Aston.",Hydro,TODO,Jeremiah Niagara,Air Continent,TODO,90,46 ~ 72 ~ 173 ~ 220,8 ~ 30 ~ 88 ~ 142,Cool Sky Blue,Grass,TODO
John,Stoutland,Male,Standard,"A resident of Post Town and Leon's grandfather. He often gave Leon advice. Once Team Fresh was established, and his age started getting the best of him, he decided Leon became independent and mature enough and trusted him with his house. He owns a boat and often uses it to travel back and forth between Post Town and Memento Beach to relax. Often shows great concern with trouble and seems to speak with an Irish or Scottish accent.",Fresh,TODO,Jonathan Haupt,Mist Continent,TODO,60,41 ~ 95 ~ 123,4 ~ 15 ~ 63,Cool Sky Blue,Poison,TODO
Judie,Jumpluff,Female,Standard,"Judie often floats around the continent with Judith. He once asked Shuniji to help save her friend who got stuck in Silent Chasm. Judie later comes to Ganden for help when Shuniji doesn't return; and they must go to Silent Chasm. Here; it is shown that the other Jumpluff is safe; but that Shuniji is in trouble for slashing a cloud with Aster in it. They remain in Square Town for a time. Later, both Judie and Judith come to see Eve and Adam off before they go on the run as fugitives.",N/A,TODO,Judie,Air Continent,TODO,TODO,TODO,TODO,Stately Silver,Grass,TODO
Judith,Jumpluff,Female,Standard,"Judie often floats around the continent with Judith. He once asked Shuniji to help save her friend who got stuck in Silent Chasm. Judie later comes to Ganden for help when Shuniji doesn't return; and they must go to Silent Chasm. Here; it is shown that the other Jumpluff is safe; but that Shuniji is in trouble for slashing a cloud with Aster in it. They remain in Square Town for a time. Later, both Judie and Judith come to see Eve and Adam off before they go on the run as fugitives.",N/A,TODO,Judith,Air Continent,TODO,TODO,TODO,TODO,Gentle Mint Green,Ice,TODO
Kagiri,Mewtwo,Female,Standard,"One of the two Mewtwo's currently in existence, probably. Both Kagiri and Mugen seem to have come from the same lab. Kagiri seemed traumatized and thinks she was only created to fight, and became extremely strong, constantly training and battling anyone she can. She defeated both Clark and Bryce in seconds when they ventured into Western Cave. Only Eve and Adam so far have defeated her. She's trying to trust humans again.",N/A,TODO,Kagirinai Chikara,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Kari,Garchomp,Male,Iridescent,"Used to live as a Gabite in the Drilbur Coal Mine, hoarding treasure that the Drilburs found, while pretending to be innocent and selling Coal to other Towns. After he was embarrassed by Cooper and Selene, and out of nowhere, shown mercy (probably because they didn't know what he was doing either), he decided to let the Drilburs own the mine, and used his treasures to venture off on his own, with his heart turned Shiny. He met Jeongi and formed Battle Team Crown, and they're now the undisputed champion of the yearly Fist Of Fire Tournament. Or is he? Surely it's not rigged at all.",Crown,TODO,Hankari Park,Water Continent,TODO,200,70 ~ 142 ~ 202,19 ~ 56 ~ 107,Energetic Yellow,Electric,TODO
Karl,Slowpoke,Male,TODO,The son of [SLOWKING] from Sand Continent. He formed Team Slackers with Veremund. They haven't done anything since.,Slackers,TODO,Karlos Pan,Grass Continent,TODO,TODO,TODO,TODO,Subdued Brown,Steel,TODO
Kate,Liepard,Female,Standard,"Notorious thief, both of valuable objects, and of hearts. Even went as far as trying to attract, and later betray, a very angry Kosuke. Seems to almost enjoy being apprehended, as long as she's apprehended in Post Town specifically. It's almost as if she's trying to secretly watch Team Tengoku from afar.",N/A,TODO,Katherine Sniders,Mist Continent,TODO,93,42 ~ 108,10 ~ 37,Refreshing Green,Normal,TODO
Kawa,Foongus,Male,Standard,Used to run the DLC shop in Post Town. Now he's in prison. Do not sell DLC's in Post Town!,N/A,TODO,Furukawa Shuntaro,Mist Continent,TODO,TODO,TODO,TODO,Clear Aqua Blue,Fairy,TODO
Kenki,Sandslash,Female,Standard,"Hokori and Kenkyo are recently married Sandslashes who formed Battle Team Spindash. Kenkyo was born in Fire Continent, while Hokori was born in Dragon Continent, so they can easily be told apart by whether or not they're a Delta. Despite being a Battle Team, they don't do a lot of battling, instead they spend a lot of time doing many different jobs, still figuring out what they're best at other than battling.",Spindash,TODO,Kenkyo Kaze,Sand Continent,TODO,63,66 ~ 105,20 ~ 46,Elegant Violet,Normal,TODO
Kevin,Hakamo-o,Male,Standard,"The ex-principal of Solstice Academy. So old. Absolute boomer. He had to give his principal role to Sheng due to his old age. Now he's the vice principal, which allows him to spend less time worrying about papers and management, and more time scolding Cross. Yep, still a boomer.",N/A,TODO,Kevlarin Wangan,Dragon Continent,TODO,125,58 ~ 122 ~ 189,29 ~ 53 ~ 92,Uplifting Pink,Rock,TODO
Kiga,Buizel,Male,Iridescent,Buizel is a member of the Expedition Society. He is in charge of underwater expeditions. He is brave; but can be reckless. He will occasionally say that he cannot guarantee safety of himself and of others if he finds a tough Pokémon to battle; as he likes to see how he stacks up against his opponent. Despite that; he is caring and does watch out for the Player and their partner when the need arises. He also comes into conflict with Swirlix a lot; as her gluttonous ways tend to get on his nerves. In Stormy Adventure Squad; Buizel argues with Farfetch'd. The fight is quickly resolved by Slowking. ,Highwind,TODO,Kigaru Hitachi,Water Continent,TODO,180,74 ~ 125,29 ~ 35,Uplifting Pink,Dark,TODO
Kira,Ampharos,Male,Iridescent,"Ampharos resides on the 8th Clearing of Sky Peak. It rescues Pokémon that are in trouble or injured. In the main storyline; Sneasel is rescued by Ampharos after being ambushed by Carnivine. Ampharos is the chief of the Expedition Society. Known abroad as ""the Dashing Wanderer""; he is trusted by the members of the Expedition Society; despite having the world's worst sense of direction. He is also rather forgetful; and tends to treat rules; even ones made by himself; as more of a suggestion than anything; and will occasionally either bypass or simply remove a rule that he himself may have made. Despite this; he is rather genuinely caring; and has the utmost confidence in all the societies members.",Highwind,Dashing Wanderer,Akira Sekkaigan,Grass Continent,TODO,180,61 ~ 86 ~ 152 ~ 155,8 ~ 14 ~ 62 ~ 66,Fiery Red,Water,TODO
Kiza,Hariyama,Male,Standard,"Come to the Hariyama Dojo, it's very fun I promise hahaha you won't get slapped off a cliff or anything.",N/A,TODO,Kizama Tenomari,Air Continent,TODO,TODO,TODO,TODO,Elegant Violet,Steel,TODO
Koda,Phantump,Male,Standard,"A bartender who just opened in Memento Beach. Very humble, the surprising amount of socializing and talking a bartender is expected to do gave him a breath of fresh air from the usual glooming and haunting of dark forests.",N/A,TODO,Kodarei Bellamy,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Kosu,Umbreon,Male,Iridescent,"They are two dungeon researchers who work as partners. Together; they uncovered the secrets of how Mystery Dungeons work. The duo separates after Todd and Euni attack them both for their Entercards. Kosuke takes two Entercards that they created and Ai takes the other two. Kosu manages to reach Post Town and is cared for by Swanun; but Ai is still on the run from the pursuers. She eventually meets [SWADLOON] in Inflora Forest and gives him the Entercards so Todd and Euni won't find them when they inevitably apprehend Ai. Ai then gets saved by Tengoku. Kosuke reveals they met Diane in the past and why she seems distant towards others. Ai and Kosuke have been studying Magnagates, Entercards, and Ley Lines since. They also were the ones who contributed the Ley Lines view in the Nexus Map.",Tengoku,TODO,Kosuke Toriumi,Mist Continent,TODO,170,44 ~ 120,8 ~ 32,Mystic Purple,Poison,TODO
Ku,Zekrom,Male,Iridescent,"Guardian of Obsidian Edge. Little is know about him and his sister, other than at some point, their heart became Iridescent at the same time, and they ended up taking each other's colors.",N/A,TODO,Kurou Ryuuniki,TODO,TODO,147,319,358,Fiery Red,Fire,TODO
Lai,Cosmog,Male,Standard,TODO,N/A,TODO,Lailona Houkuu,TODO,TODO,149,365,210,Vivid Pink,Dark,TODO
Lara,Sunflora,TODO,Standard,TODO,Pukurin,TODO,Larissa Steffen,Grass Continent,TODO,TODO,TODO,TODO,Subdued Brown,Psychic,TODO
Lauren,Lombre,Male,Standard,"UGH, don't get me STARTED about Lauren. He's so pathetic! Pshehehehe! Can you believe that he's a water type, and he almost DROWNED in the sea? He says he didn't drown, he discovered a dungeon with Dive or something, but who would ever believe that?? Lauren, an explorer?? He didn't even leave Square Town when Giuda convinced everyone Eve was the human from the Ninetales legend! Granted, Giuda was wrong, but I didn't see HIM say anything about it back when Eve left! Pathetic, I tell you! Psehehehe, what a silly!",N/A,TODO,Laurence Vann,Air Continent,TODO,TODO,TODO,TODO,Deep Green,Water,TODO
Leb,Kecleon ,TODO,Standard,"The Kecleon Brothers run the Kecleon Item Shop in several Towns, and travel between them scary fast too, accumulating an equally scary amount of items from Mystery Dungeons in the way. The younger brother, Kaleb, has a Standard heart, while the older brother, Khalid, has an Iridescent heart. In fact, they were the first Pokémon to discover how Heart Color works. Kaleb stays Standard on purpose, never showing his true colors, both to show the difference between him and Khalid, but also because unlike his older brother, he prefers ""keeping his personal stuff private"". Khalid on the other hand, is very outgoing, and works in the shop less often, so he can spend more time showing his true colors and his true passion, which is being a legendary Explorer that makes Outlaws tremble from the mere mention of his name. Often puts a ""♪"" in between sentences.",Kecleon Brothers,TODO,Kaleb Chap,Air Continent,TODO,TODO,TODO,TODO,TODO,Flying,TODO
Lee,Keldeo,Male,Iridescent,TODO,Tengoku,TODO,Lewis Kelpie,Mist Continent,1985-01-07,146,148,42,Smart Marine Blue,Fairy,TODO
Leila,Cradily,Female,Standard,"Leilani was a young, ancient Lileep who early in her life, became a fossil due to an unknown incident she can't remember. She was revived by Ansa and Traff. To show her gratitude, she decided to join Team Constrictor, and has been helping them a lot ever since she evolved. When Eve and Adam succeeded at defeating Groudon in Ansa's place, it motivated her and the rest of her team to challenge other teams in the Makuhita Dojo, to become stronger.",Constrictor,TODO,Leilani Tran,Air Continent,TODO,TODO,TODO,TODO,Deep Green,Grass,TODO
Len,Leafeon,Female,Iridescent,"A Human turned Eevee that seems to really, REALLY like Pokemon. Just like Zelda, Alph, and Link, she travels back and forth between Eevellage and Capim Town. Sometimes she studies alchemy and botany.",N/A,TODO,Alaine Lille,TODO,TODO,110,31 ~ 82,5 ~ 19,Stunning Orange,Fire,TODO
Leon,Lillipup,Male,Standard,"Leon is Sam's best friend. He's [HERDIER]'s grandson, and is very aware that Sam has a lot of potential, but he's too shut in to let himself shine. He often asks for [HERDIER]'s advice and encourages Sam to play with him. Lately, he convinced Sam to join Team Fresh with him.",Fresh,TODO,Leonhardt Haupt,Mist Continent,TODO,TODO,TODO,TODO,Uplifting Pink,Flying,TODO
Lian,Emolga ,Male,Iridescent,"He is first met when the player is looking for Don. He is Don's best friend and always stands up for him; no matter what. He encourages him to give Julian a gift as a means of appreciation; but when she rejects him; Julian instantly hates Diane;  voting against her joining the team and openly showing that he wants nothing to do with her. They later make amends. He is shown to be very prideful and a prankster, but also extremely loyal, to the point he'd rather miss out on having good experiences just so his friends can have them instead. This is the case for both adventuring and even dating.",Tengoku,TODO,Julian Nimbus,Mist Continent,2002-08-07,170,51,6,Brilliant Green,Grass,TODO
Libi,Mew ,Unknown,Iridescent,"Libi has lived in Mystery Jungle for a long time. She likes turning invisible and spying on the lives of the strongest teams in the world, and if they saved a lot of people, or even happened to have a Human as the leader, she usually manifests herself to join their team for a while. She even joins Team Ganden and Team Chronos from time to time. She has been spying on Cooper and Selene's entire friendship, and even witnessed Selene confess to Cooper that she was an ancient, legendary Mew from the past. Libi suddenly recognized her, and became sad that she had to disappear and leave Cooper alone, so she decided to help by catching Selene's soul and Harmony Scarf inside of her before she could fully fade. This put great stress on her body which gave her partial amnesia. Cooper later found her in Mystery Jungle, which made Libi instinctively want to join him. Cooper and Expedition Society warm up to Libi, who begins exhibiting behaviors similar to Selene's. Libi then falls ill, and based on Akira and [XATU]'s advice, Cooper takes her to Serene Village. Libi however is kidnapped, with the abductors thinking she was Selene, and planning on sacrificing her in Purifying Cave to remove the last fragments of Dark Matter which reside within her. At the Purifiying Cave, Cooper meets the abductors, Nobu and the Beheeyem. Libi begins to glow with light and seemingly begins to fade away, with Cooper internally, desperately begging her to stay. But Cooper's true desire was not for Libi to stay, but the part of her that was Selene. The Harmony Scarf begins to glow, and Selene is then restored from inside Libi, to Cooper's shock. Libi then reveals she remembered everything, and that she had been glad to be part of the ""kidnapping"" in order to restore Selene. When she saw her own heart turn Shiny, she left Team Excalibur to ""discover herself"". Visiting all Hero Rank Teams to have fun with them, she discovered that, well, she really, really loves humans. Her heart turned Iridescent, and she's been teleporting and spying on all sorts of humans while staying invisible since.",Excalibur,TODO,Libidine,Grass Continent,TODO,148,36,3,Stately Silver,Flying,TODO
Libre,Hawlucha,Male,Standard,They can link moves... oh god... somebody stop them...,Move Linkers,TODO,Lubbert Hendrix,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Lid,Kecleon ,TODO,Iridescent,"The Kecleon Brothers run the Kecleon Item Shop in several Towns, and travel between them scary fast too, accumulating an equally scary amount of items from Mystery Dungeons in the way. The younger brother, Kaleb, has a Standard heart, while the older brother, Khalid, has an Iridescent heart. In fact, they were the first Pokémon to discover how Heart Color works. Kaleb stays Standard on purpose, never showing his true colors, both to show the difference between him and Khalid, but also because unlike his older brother, he prefers ""keeping his personal stuff private"". Khalid on the other hand, is very outgoing, and works in the shop less often, so he can spend more time showing his true colors and his true passion, which is being a legendary Explorer that makes Outlaws tremble from the mere mention of his name. Often puts a ""♪"" in between sentences.",Kecleon Brothers,TODO,Khalid Chap,Air Continent,TODO,TODO,TODO,TODO,TODO,Fairy,TODO
Lillie,Leavanny,Female,Standard,"A resident of Post Town and Sam's mother. She cares a lot about her son; as she comes running to Dairou for help when Sam disappears, and she actively supports Dairou in their quest to destroy the Bittercold for hopes that her son would have the chance to live a longer life.",Fresh,TODO,Lillemor Taibi,Mist Continent,TODO,TODO,TODO,TODO,Gentle Mint Green,Fighting,TODO
Lina,Medicham,Female,Iridescent,"Used to be the brains of Giuda's Team Meanies. Their goal was to reach world domination by manipulating other teams. After being defeated by Team Ganden, they planned to use Square Town against Eve and Adam to get rid of them. This only allowed Team Ganden to skyrocket in strength, ranking, and popularity once they not only returned from Mount Freeze unscathed, but proved that Eve was not the human in the Ninetales legend. This gave Team Meanies a harsh reality check, and they focused on dominating the world not by manipulating others, but by becoming superior themselves, with feats such as getting through Wish Cave, or defeating Eve and Adam on their own. Later, when Giuda and Eve saved Hildegarde, and Giuda revealed to everyone he was the selfish human in the Ninetales legend, the team ultimately disbanded. Pauline embraced her good side and joined Team Charm to help out the now amnesiac Hildegarde, while Eimi embraced his evil side and joined Team AWD to make something good out of his thieving skills. This caused the two teams to become rivals. One day her heart turned Iridescent, and she seems to get really angry when asked why.","Charm, Meanies",TODO,Pauline Limestone,Air Continent,TODO,185,50 ~ 133 ~ 133,11 ~ 32 ~ 33,Fiery Red,Water,TODO
Linda,Lilligant,Female,Standard,"The maid in charge of the Steel Condo in Noe Town. She's also great at healing and seems to have a soft spot for children. Gets made fun of a lot for having a mouth so small people can't see it when it's closed. Obsessed with cleanliness. Luckily, she's also amazingly fast at cleaning, so it never becomes a problem.",N/A,TODO,Lindani Halle,TODO,TODO,43,39 ~ 105,6 ~ 16,Clear Aqua Blue,Steel,TODO
Lithi,Chespin,Male,Iridescent,"Lithi is a paradox. He is the product of fatality minus randomness, or rather, the embodiment of the fact that the odds of Cooper actually defeating Dark Matter without failing, saving the entire planet, reviving Selene, and living together with her, was astronomically low. According to him, Selene and Cooper not only would have fainted in some dungeons, but on rare occasions, even perished, from circumstances out of reality's control. What Selene and Cooper thought was just pure luck with Escape Orbs, was actually Lithi manifesting himself in the Pelipper Island, and rescuing them, effectively forcing the low odds of everything being fine to be always heads. When Cooper and [MEW] eventually revived Selene, Lithi found himself so attached to Cooper and Selene's souls being permanently connected and intertwined with each other, that he ended up becoming a real, physical person. This meant Lithi could no longer rescue Cooper and Selene without fainting or perishing himself, and if he did, he could no longer rescue them. This caused him to leave Pelipper Island, travel to the Water Continent, and fight Cooper and Selene, in a desperate attempt to make them become stronger than him, and no longer need him. Cooper and Selene however stopped the fight, and decided to travel with him to Pelipper Island to verify for themselves everything he had done for them. Once they did, they accepted Lithi as a real, existing person, and invited him to join team Excalibur, which shocked him and made him burst in tears. Today he is still getting used to being a normal Pokémon, and often adventures with team Excalibur.",Excalibur,TODO,Lithos Highwind Excalibur,Mystery Continent,1996-08-22,210,42 ~ 77 ~ 161 ~ 161,10 ~ 28 ~ 102 ~ 195,Clear Aqua Blue,Ground,TODO
Lon,Eevee,Male,Shiny,TODO,Vulcan,TODO,Lonly Abaddon,Fire Continent,2011-09-02,141,38 ~ 90,8 ~ 31,Stunning Orange,Flying,TODO
