ID,EVOID,Pokemon,Class,Rarity,Starter,First Type,Second Type,Egg Group 1,Egg Group 2,First Ability,Second Ability,Hidden Ability,HP,AT,DF,SA,SD,SP,TT,Weight (kg),Weight (lbs),Height (cm),Height (ft in),Shape,♂/♀ Ratio,Growth,Base Connection,Spawn Modifier,Apricorn Chance,Experience,Days To Hatch
217,216,Ursaring,Hibernator Pokémon,Uncommon,No,Normal,,Field,,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500,126,277,180,"5'11""",Upright,0.5,Fast,60,-26,60,175,20
218,,Slugma,Lava Pokémon,Common,No,Fire,,Amorphous,,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,250,35,77,71,"2'04""",Squiggle,0.5,Fast,70,48,190,50,20
219,218,Magcargo,Lava Pokémon,Common,No,Fire,Rock,Amorphous,,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,430,55,121,79,"2'07""",Squiggle,0.5,Fast,60,-25,75,151,20
220,,Swinub,Pig Pokémon,Common,No,Ice,Ground,Field,,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,250,6,14,41,"1'04""",Quadruped,0.5,Very Slow,50,63,225,50,20
221,220,Piloswine,Swine Pokémon,Common,No,Ice,Ground,Field,,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450,56,123,109,"3'07""",Quadruped,0.5,Very Slow,40,-25,75,158,20
222,,Corsola,Coral Pokémon,Common,No,Water,Rock,Water 1,Water 3,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,410,5,11,61,"2'00""",Armor,0.5,Very Fast,50,-1,60,144,20
223,,Remoraid,Jet Pokémon,Common,No,Water,,Water 1,Water 2,Hustle,Sniper,Moody,35,65,35,65,35,65,300,12,27,61,"2'00""",Fish,0.5,Fast,50,48,190,60,20
224,223,Octillery,Jet Pokémon,Common,No,Water,,Water 1,Water 2,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480,28,63,89,"2'11""",Tentacles,0.5,Fast,40,-25,75,168,20
225,,Delibird,Delivery Pokémon,Common,No,Ice,Flying,Water 1,Field,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,330,16,35,89,"2'11""",Wings,0.5,Very Fast,50,-10,45,116,20
226,458,Mantine,Kite Pokémon,Common,No,Water,Flying,Water 1,,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,485,220,485,211,"6'11""",Wings,0.5,Very Slow,40,-35,25,170,25
227,,Skarmory,Armor Bird Pokémon,Common,No,Steel,Flying,Flying,,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,465,50,111,170,"5'07""",Wings,0.5,Very Slow,50,-15,25,163,25
228,,Houndour,Dark Pokémon,Uncommon,No,Dark,Fire,Field,,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,330,11,24,61,"2'00""",Quadruped,0.5,Very Slow,30,35,120,66,20
229,228,Houndoom,Dark Pokémon,Uncommon,No,Dark,Fire,Field,,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500,35,77,140,"4'07""",Quadruped,0.5,Very Slow,30,-30,45,175,20
229M,229,Houndoom (Mega Houndoom),Dark Pokémon,Uncommon,No,Dark,Fire,Field,,Solar Power,Flash Fire,Unnerve,75,90,90,140,90,115,600,49,109,191,"6'03""",Quadruped,0.5,Very Slow,30,-30,45,175,20
230,117,Kingdra,Dragon Pokémon,Common,No,Water,Dragon,Water 1,Dragon,Swift Swim,Sniper,Damp,75,95,95,95,95,85,540,152,335,180,"5'11""",Blob,0.5,Fast,40,-57,45,270,20
231,,Phanpy,Long Nose Pokémon,Uncommon,Special,Ground,,Field,,Pickup,Sturdy,Sand Veil,90,60,60,40,40,40,330,34,74,51,"1'08""",Quadruped,0.5,Fast,70,35,120,66,20
232,231,Donphan,Armor Pokémon,Uncommon,No,Ground,,Field,,Sturdy,Pickup,Sand Veil,90,120,120,60,60,50,500,120,265,109,"3'07""",Quadruped,0.5,Fast,60,-26,60,175,20
233,137,Porygon2,Virtual Pokémon,Uncommon,No,Normal,,Mineral,,Trace,Download,Analytic,85,80,90,105,95,60,515,32,72,61,"2'00""",Legs,,Fast,40,-30,45,180,20
234,,Stantler,Big Horn Pokémon,Common,No,Normal,,Field,,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,465,71,157,140,"4'07""",Quadruped,0.5,Very Slow,70,-10,45,163,20
235,,Smeargle,Painter Pokémon,Common,No,Normal,,Field,,Own Tempo,Technician,Moody,55,20,35,20,45,75,250,58,128,119,"3'11""",Upright,0.5,Very Fast,70,-10,45,88,20
236,,Tyrogue,Scuffle Pokémon,Common,No,Fighting,,Undiscovered,,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,210,21,46,71,"2'04""",Humanoid,1,Fast,50,25,75,42,25
237,236,Hitmontop,Handstand Pokémon,Common,No,Fighting,,Human-Like,,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455,48,106,140,"4'07""",Upright,1,Fast,40,-30,45,159,25
238,,Smoochum,Kiss Pokémon,Common,No,Ice,Psychic,Undiscovered,,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305,6,13,41,"1'04""",Humanoid,0,Fast,50,19,45,61,25
239,,Elekid,Electric Pokémon,Uncommon,Special,Electric,,Undiscovered,,Static,Moxie,Vital Spirit,45,63,37,65,55,95,360,23,52,61,"2'00""",Humanoid,0.75,Fast,50,19,45,72,25
240,,Magby,Live Coal Pokémon,Uncommon,Special,Fire,,Undiscovered,,Flame Body,Moxie,Vital Spirit,45,75,37,70,55,83,365,21,47,71,"2'04""",Upright,0.75,Fast,50,19,45,73,25
241,,Miltank,Milk Cow Pokémon,Common,No,Normal,,Field,,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,490,75,166,119,"3'11""",Upright,0,Very Slow,50,-10,45,172,20
242,113,Blissey,Happiness Pokémon,Common,No,Normal,,Fairy,,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,540,47,103,150,"4'11""",Humanoid,0,Very Fast,100,-65,30,400,40
243,,Raikou,Thunder Pokémon,Legendary,No,Electric,,Undiscovered,,Pressure,Mold Breaker,Inner Focus,90,85,75,115,100,115,580,178,392,191,"6'03""",Quadruped,,Very Slow,30,-25,3,290,45
244,,Entei,Volcano Pokémon,Legendary,No,Fire,,Undiscovered,,Pressure,Mold Breaker,Inner Focus,115,115,85,90,75,100,580,198,437,211,"6'11""",Quadruped,,Very Slow,30,-25,3,290,45
245,,Suicune,Aurora Pokémon,Legendary,No,Water,,Undiscovered,,Pressure,Mold Breaker,Inner Focus,100,75,115,90,115,85,580,187,412,201,"6'07""",Quadruped,,Very Slow,30,-25,3,290,45
246,,Larvitar,Rock Skin Pokémon,Rare,No,Rock,Ground,Monster,,Guts,Unnerve,Sand Veil,50,64,50,45,50,41,300,72,159,61,"2'00""",Upright,0.5,Very Slow,30,19,45,60,40
247,246,Pupitar,Hard Shell Pokémon,Rare,No,Rock,Ground,Monster,,Shed Skin,Unnerve,Sand Veil,70,84,70,65,70,51,410,152,335,119,"3'11""",Squiggle,0.5,Very Slow,30,-11,45,144,40
248,247,Tyranitar,Armor Pokémon,Rare,No,Rock,Dark,Monster,,Sand Stream,Sand Veil,Unnerve,100,134,110,95,100,61,600,202,445,201,"6'07""",Upright,0.5,Very Slow,20,-57,45,300,40
248M,248,Tyranitar (Mega Tyranitar),Armor Pokémon,Rare,No,Rock,Dark,Monster,,Sand Stream,Sand Veil,Unnerve,100,164,150,95,120,71,700,255,562,249,"8'02""",Upright,0.5,Very Slow,20,-57,45,300,40
249,,Lugia,Diving Pokémon,Legendary,No,Psychic,Flying,Undiscovered,,Pressure,Magic Guard,Multiscale,106,90,130,90,154,110,680,216,476,521,"17'01""",Wings,,Very Slow,0,-25,3,340,50
250,,Ho-Oh,Rainbow Pokémon,Legendary,No,Fire,Flying,Undiscovered,,Pressure,Magic Guard,Regenerator,106,130,90,110,154,90,680,199,439,381,"12'06""",Wings,,Very Slow,0,-25,3,340,50
251,,Celebi,Time Travel Pokémon,Mythical,No,Psychic,Grass,Undiscovered,,Natural Cure,Aroma Veil,Serene Grace,100,100,100,100,100,100,600,5,11,61,"2'00""",Humanoid,,Slow,90,-10,45,300,50
252,,Treecko,Wood Gecko Pokémon,Uncommon,Classic,Grass,,Monster,Dragon,Overgrow,Prism Armor,Unburden,40,45,35,65,55,70,310,5,11,51,"1'08""",Upright,0.875,Slow,50,19,45,62,20
253,252,Grovyle,Wood Gecko Pokémon,Uncommon,No,Grass,,Monster,Dragon,Overgrow,Prism Armor,Unburden,50,65,45,85,65,95,405,22,48,89,"2'11""",Upright,0.875,Slow,50,-11,45,142,20
254,253,Sceptile,Forest Pokémon,Uncommon,No,Grass,,Monster,Dragon,Overgrow,Prism Armor,Unburden,70,85,65,105,85,120,530,52,115,170,"5'07""",Upright,0.875,Slow,40,-57,45,265,20
254M,254,Sceptile (Mega Sceptile),Forest Pokémon,Uncommon,No,Grass,,Monster,Dragon,Lightning Rod,Prism Armor,Unburden,70,110,75,145,85,145,630,55,122,191,"6'03""",Upright,0.875,Slow,40,-57,45,265,20
255,,Torchic,Chick Pokémon,Uncommon,Classic,Fire,,Field,,Blaze,Solid Rock,Speed Boost,45,60,40,70,50,45,310,2,6,41,"1'04""",Legs,0.875,Slow,50,19,45,62,20
256,255,Combusken,Young Fowl Pokémon,Uncommon,No,Fire,Fighting,Field,,Blaze,Solid Rock,Speed Boost,60,85,60,85,60,55,405,20,43,89,"2'11""",Upright,0.875,Slow,50,-11,45,142,20
257,256,Blaziken,Blaze Pokémon,Uncommon,No,Fire,Fighting,Field,,Blaze,Solid Rock,Speed Boost,80,120,70,110,70,80,530,52,115,191,"6'03""",Upright,0.875,Slow,40,-57,45,265,20
257M,257,Blaziken (Mega Blaziken),Blaze Pokémon,Uncommon,No,Fire,Fighting,Field,,Speed Boost,Solid Rock,Speed Boost,80,160,80,130,80,100,630,52,115,191,"6'03""",Upright,0.875,Slow,40,-57,45,265,20
258,,Mudkip,Mud Fish Pokémon,Uncommon,Classic,Water,,Monster,Water 1,Torrent,Filter,Damp,50,70,50,50,50,40,310,8,17,41,"1'04""",Quadruped,0.875,Slow,50,19,45,62,20
259,258,Marshtomp,Mud Fish Pokémon,Uncommon,No,Water,Ground,Monster,Water 1,Torrent,Filter,Damp,70,85,70,60,70,50,405,28,62,71,"2'04""",Upright,0.875,Slow,50,-11,45,142,20
260,259,Swampert,Mud Fish Pokémon,Uncommon,No,Water,Ground,Monster,Water 1,Torrent,Filter,Damp,100,110,90,85,90,60,535,82,181,150,"4'11""",Upright,0.875,Slow,40,-57,45,268,20
260M,260,Swampert (Mega Swampert),Mud Fish Pokémon,Uncommon,No,Water,Ground,Monster,Water 1,Swift Swim,Filter,Damp,100,150,110,95,110,70,635,102,225,191,"6'03""",Upright,0.875,Slow,40,-57,45,268,20
261,,Poochyena,Bite Pokémon,Uncommon,Special,Dark,,Field,,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,220,14,30,51,"1'08""",Quadruped,0.5,Fast,70,70,255,56,15
262,261,Mightyena,Bite Pokémon,Uncommon,No,Dark,,Field,,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,420,37,82,99,"3'03""",Quadruped,0.5,Fast,70,-11,127,147,15
263,,Zigzagoon,Tiny Raccoon Pokémon,Common,No,Normal,,Field,,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240,18,39,41,"1'04""",Quadruped,0.5,Fast,50,70,255,56,15
264,263,Linoone,Rushing Pokémon,Common,No,Normal,,Field,,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420,32,72,51,"1'08""",Quadruped,0.5,Fast,50,-15,90,147,15
265,,Wurmple,Worm Pokémon,Common,No,Bug,,Bug,,Shield Dust,Effect Spore,Run Away,45,45,35,20,30,20,195,4,8,30,"1'00""",Armor,0.5,Fast,70,70,255,56,15
266,265,Silcoon,Cocoon Pokémon,Common,No,Bug,,Bug,,Shed Skin,Effect Spore,Rivalry,50,35,55,25,25,15,205,10,22,61,"2'00""",Ball,0.5,Fast,70,12,120,72,15
267,266,Beautifly,Butterfly Pokémon,Common,No,Bug,Flying,Bug,,Swarm,Effect Spore,Rivalry,60,70,50,100,50,65,395,28,63,99,"3'03""",Bug,0.5,Fast,60,-57,45,178,15
268,265,Cascoon,Cocoon Pokémon,Common,No,Bug,,Bug,,Shed Skin,Effect Spore,Compound Eyes,50,35,55,25,25,15,205,12,25,71,"2'04""",Ball,0.5,Fast,70,12,120,72,15
269,268,Dustox,Poison Moth Pokémon,Common,No,Bug,Poison,Bug,,Shield Dust,Effect Spore,Compound Eyes,60,50,70,50,90,65,385,32,70,119,"3'11""",Bug,0.5,Fast,60,-57,45,173,15
270,,Lotad,Water Weed Pokémon,Common,No,Water,Grass,Water 1,Grass,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,220,3,6,51,"1'08""",Armor,0.5,Slow,50,70,255,44,15
271,270,Lombre,Jolly Pokémon,Common,No,Water,Grass,Water 1,Grass,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,340,32,72,119,"3'11""",Humanoid,0.5,Slow,50,12,120,119,15
272,271,Ludicolo,Carefree Pokémon,Common,No,Water,Grass,Water 1,Grass,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480,55,121,150,"4'11""",Humanoid,0.5,Slow,40,-57,45,240,15
273,,Seedot,Acorn Pokémon,Common,No,Grass,,Field,Grass,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,220,4,9,51,"1'08""",Legs,0.5,Slow,50,70,255,44,15
274,273,Nuzleaf,Wily Pokémon,Common,No,Grass,Dark,Field,Grass,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340,28,62,99,"3'03""",Humanoid,0.5,Slow,50,12,120,119,15
275,274,Shiftry,Wicked Pokémon,Common,No,Grass,Dark,Field,Grass,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480,60,131,130,"4'03""",Humanoid,0.5,Slow,40,-57,45,240,15
276,,Taillow,Tiny Swallow Pokémon,Common,No,Normal,Flying,Flying,,Guts,Keen Eye,Scrappy,40,55,30,30,30,85,270,2,5,30,"1'00""",Wings,0.5,Slow,70,50,200,54,15
277,276,Swellow,Swallow Pokémon,Common,No,Normal,Flying,Flying,,Guts,Keen Eye,Scrappy,60,85,60,75,50,125,455,20,44,71,"2'04""",Wings,0.5,Slow,60,-30,45,159,15
278,,Wingull,Seagull Pokémon,Common,No,Water,Flying,Water 1,Flying,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,270,9,21,61,"2'00""",Wings,0.5,Fast,50,48,190,54,20
279,278,Pelipper,Water Bird Pokémon,Common,No,Water,Flying,Water 1,Flying,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,440,28,62,119,"3'11""",Wings,0.5,Fast,40,-30,45,154,20
280,,Ralts,Feeling Pokémon,Uncommon,Special,Psychic,Fairy,Amorphous,,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198,7,15,41,"1'04""",Humanoid,0.5,Very Slow,30,65,235,40,20
281,280,Kirlia,Emotion Pokémon,Uncommon,No,Psychic,Fairy,Amorphous,,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278,20,45,79,"2'07""",Humanoid,0.5,Very Slow,30,12,120,97,20
282,281,Gardevoir,Embrace Pokémon,Uncommon,No,Psychic,Fairy,Amorphous,,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518,48,107,160,"5'03""",Humanoid,0.5,Very Slow,20,-57,45,259,20
282M,282,Gardevoir (Mega Gardevoir),Embrace Pokémon,Uncommon,No,Psychic,Fairy,Amorphous,,Pixilate,Trace,Telepathy,68,85,65,165,135,100,618,48,107,160,"5'03""",Humanoid,0.5,Very Slow,20,-57,45,259,20
283,,Surskit,Pond Skater Pokémon,Common,No,Bug,Water,Water 1,Bug,Swift Swim,Stakeout,Rain Dish,40,30,32,50,52,65,269,2,4,51,"1'08""",Armor,0.5,Fast,70,50,200,54,15
284,283,Masquerain,Eyeball Pokémon,Common,No,Bug,Flying,Water 1,Bug,Intimidate,Stakeout,Unnerve,70,60,62,100,82,80,454,4,8,79,"2'07""",Bug,0.5,Fast,60,-25,75,159,15
285,,Shroomish,Mushroom Pokémon,Common,No,Grass,,Fairy,Grass,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,295,4,10,41,"1'04""",Legs,0.5,Fluctuating,70,70,255,59,15
286,285,Breloom,Mushroom Pokémon,Common,No,Grass,Fighting,Fairy,Grass,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,460,39,86,119,"3'11""",Upright,0.5,Fluctuating,70,-15,90,161,15
287,,Slakoth,Slacker Pokémon,Common,No,Normal,,Field,,Truant,Pickup,Klutz,60,60,60,35,35,30,280,24,53,79,"2'07""",Quadruped,0.5,Very Slow,70,70,255,56,15
288,287,Vigoroth,Wild Monkey Pokémon,Common,No,Normal,,Field,,Vital Spirit,Pickup,Frisk,80,80,80,55,55,90,440,46,103,140,"4'07""",Upright,0.5,Very Slow,70,12,120,154,15
289,288,Slaking,Lazy Pokémon,Common,No,Normal,,Field,,Truant,Pickup,Klutz,150,160,100,95,65,100,670,130,288,201,"6'07""",Humanoid,0.5,Very Slow,60,-57,45,252,15
290,,Nincada,Trainee Pokémon,Common,No,Bug,Ground,Bug,,Compound Eyes,Speed Boost,Run Away,31,45,90,30,30,40,266,5,12,51,"1'08""",Armor,0.5,Erratic,50,70,255,53,15
291,290,Ninjask,Ninja Pokémon,Common,No,Bug,Flying,Bug,,Speed Boost,Compound Eyes,Infiltrator,61,90,45,50,50,160,456,12,27,79,"2'07""",Bug,0.5,Erratic,50,-12,120,160,15
292,290,Shedinja,Shed Pokémon,Common,No,Bug,Ghost,Mineral,,Wonder Guard,Wonder Guard,Wonder Guard,1,90,45,30,30,40,236,1,3,79,"2'07""",Blob,,Erratic,40,-30,45,83,15
293,,Whismur,Whisper Pokémon,Common,No,Normal,,Monster,Field,Soundproof,Early Bird,Rattled,64,51,23,51,23,28,240,16,36,61,"2'00""",Upright,0.5,Slow,50,48,190,48,20
294,293,Loudred,Big Voice Pokémon,Common,No,Normal,,Monster,Field,Soundproof,Early Bird,Scrappy,84,71,43,71,43,48,360,41,89,99,"3'03""",Upright,0.5,Slow,50,12,120,126,20
295,294,Exploud,Loud Noise Pokémon,Common,No,Normal,,Monster,Field,Soundproof,Early Bird,Scrappy,104,91,63,91,73,68,490,84,185,150,"4'11""",Upright,0.5,Slow,40,-57,45,245,20
296,,Makuhita,Guts Pokémon,Common,No,Fighting,,Human-Like,,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,237,86,191,99,"3'03""",Humanoid,0.5,Fluctuating,70,46,180,47,20
297,296,Hariyama,Arm Thrust Pokémon,Common,No,Fighting,,Human-Like,,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,474,254,560,231,"7'07""",Humanoid,0.5,Fluctuating,70,10,200,166,20
298,,Azurill,Polka Dot Pokémon,Uncommon,Special,Normal,Fairy,Undiscovered,,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,190,2,4,20,"0'08""",Legs,0.25,Very Fast,50,40,150,40,10
299,,Nosepass,Compass Pokémon,Common,No,Rock,,Mineral,,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,375,97,214,99,"3'03""",Humanoid,0.5,Fast,70,65,255,75,20
300,,Skitty,Kitten Pokémon,Rare,Special,Normal,,Field,Fairy,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,260,11,24,61,"2'00""",Quadruped,0.25,Very Fast,70,70,255,52,15
301,300,Delcatty,Prim Pokémon,Rare,No,Normal,,Field,Fairy,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,400,33,72,109,"3'07""",Quadruped,0.25,Very Fast,60,-26,60,140,15
302,,Sableye,Darkness Pokémon,Common,No,Dark,Ghost,Human-Like,,Keen Eye,Stall,Prankster,50,75,75,65,65,50,380,11,24,51,"1'08""",Humanoid,0.5,Slow,30,-10,45,133,25
302M,302,Sableye (Mega Sableye),Darkness Pokémon,Common,No,Dark,Ghost,Human-Like,,Magic Bounce,Stall,Prankster,50,85,125,85,115,20,480,161,355,51,"1'08""",Humanoid,0.5,Slow,30,-10,45,133,25
303,,Mawile,Deceiver Pokémon,Rare,No,Steel,Fairy,Field,Fairy,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,380,12,25,61,"2'00""",Humanoid,0.5,Very Fast,50,-10,45,133,20
303M,303,Mawile (Mega Mawile),Deceiver Pokémon,Rare,No,Steel,Fairy,Field,Fairy,Huge Power,Intimidate,Sheer Force,50,105,125,55,95,50,480,23,52,99,"3'03""",Humanoid,0.5,Very Fast,50,-10,45,133,20
304,,Aron,Iron Armor Pokémon,Uncommon,Special,Steel,Rock,Monster,,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,330,60,132,41,"1'04""",Quadruped,0.5,Very Slow,30,46,180,66,35
305,304,Lairon,Iron Armor Pokémon,Common,No,Steel,Rock,Monster,,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,430,120,265,89,"2'11""",Quadruped,0.5,Very Slow,30,1,90,151,35
306,305,Aggron,Iron Armor Pokémon,Common,No,Steel,Rock,Monster,,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,530,360,794,211,"6'11""",Upright,0.5,Very Slow,20,-57,45,265,35
306M,306,Aggron (Mega Aggron),Iron Armor Pokémon,Common,No,Steel,Rock,Monster,,Filter,Rock Head,Heavy Metal,70,140,230,60,80,50,630,395,871,221,"7'03""",Upright,0.5,Very Slow,20,-57,45,265,35
307,,Meditite,Meditate Pokémon,Common,No,Fighting,Psychic,Human-Like,,Pure Power,Scrappy,Telepathy,30,40,55,40,55,60,280,11,25,61,"2'00""",Humanoid,0.5,Fast,70,46,180,56,20
308,307,Medicham,Meditate Pokémon,Common,No,Fighting,Psychic,Human-Like,,Pure Power,Scrappy,Telepathy,60,60,75,60,75,80,410,31,69,130,"4'03""",Humanoid,0.5,Fast,70,-15,90,144,20
308,308,Medicham (Mega Medicham),Meditate Pokémon,Common,No,Fighting,Psychic,Human-Like,,Pure Power,Scrappy,Telepathy,60,100,85,80,85,100,510,31,69,130,"4'03""",Humanoid,0.5,Fast,70,-15,90,144,20
309,,Electrike,Lightning Pokémon,Common,No,Electric,,Field,,Static,Lightning Rod,Anger Point,40,45,40,65,40,65,295,15,34,61,"2'00""",Quadruped,0.5,Very Slow,50,35,120,59,20
310,309,Manectric,Discharge Pokémon,Common,No,Electric,,Field,,Static,Lightning Rod,Anger Point,70,75,60,105,60,105,475,40,89,150,"4'11""",Quadruped,0.5,Very Slow,40,-30,45,166,20
310M,310,Manectric (Mega Manectric),Discharge Pokémon,Common,No,Electric,,Field,,Intimidate,Lightning Rod,Anger Point,70,75,80,135,80,135,575,44,97,180,"5'11""",Quadruped,0.5,Very Slow,40,-30,45,166,20
311,,Plusle,Cheering Pokémon,Common,No,Electric,,Fairy,,Plus,Cute Charm,Lightning Rod,60,50,40,85,75,95,405,4,9,41,"1'04""",Upright,0.5,Fast,70,45,200,142,20
312,,Minun,Cheering Pokémon,Common,No,Electric,,Fairy,,Minus,Cute Charm,Volt Absorb,60,40,50,75,85,95,405,4,9,41,"1'04""",Upright,0.5,Fast,70,45,200,142,20
313,,Volbeat,Firefly Pokémon,Common,No,Bug,,Bug,Human-Like,Illuminate,Swarm,Prankster,65,73,75,47,85,85,430,18,39,71,"2'04""",Upright,1,Erratic,70,25,150,151,15
314,,Illumise,Firefly Pokémon,Common,No,Bug,,Bug,Human-Like,Oblivious,Tinted Lens,Prankster,65,47,75,73,85,85,430,18,39,61,"2'00""",Humanoid,0,Fluctuating,70,25,150,151,15
315,406,Roselia,Thorn Pokémon,Common,No,Grass,Poison,Fairy,Grass,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,400,2,4,30,"1'00""",Humanoid,0.5,Slow,50,-5,150,140,20
316,,Gulpin,Stomach Pokémon,Common,No,Poison,,Amorphous,,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,302,10,23,41,"1'04""",Arms,0.5,Fluctuating,70,63,225,60,20
317,316,Swalot,Poison Bag Pokémon,Common,No,Poison,,Amorphous,,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,467,80,176,170,"5'07""",Arms,0.5,Fluctuating,60,-25,75,163,20
318,,Carvanha,Savage Pokémon,Common,No,Water,Dark,Water 2,,Rough Skin,Merciless,Speed Boost,45,90,20,65,20,65,305,21,46,79,"2'07""",Fish,0.5,Very Slow,30,63,225,61,20
319,318,Sharpedo,Brutal Pokémon,Common,No,Water,Dark,Water 2,,Rough Skin,Merciless,Speed Boost,70,120,40,95,40,95,460,89,196,180,"5'11""",Fish,0.5,Very Slow,30,-26,60,161,20
319M,319,Sharpedo (Mega Sharpedo),Brutal Pokémon,Common,No,Water,Dark,Water 2,,Strong Jaw,Merciless,Speed Boost,70,140,70,110,65,105,560,130,287,249,"8'02""",Fish,0.5,Very Slow,30,-26,60,161,20
320,,Wailmer,Ball Whale Pokémon,Common,No,Water,,Field,Water 2,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,400,130,287,201,"6'07""",Fish,0.5,Fluctuating,50,35,125,80,40
321,320,Wailord,Float Whale Pokémon,Common,No,Water,,Field,Water 2,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,500,398,877,1450,"47'07""",Fish,0.5,Fluctuating,40,-26,60,175,40
322,,Numel,Numb Pokémon,Common,No,Fire,Ground,Field,,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,305,24,53,71,"2'04""",Quadruped,0.5,Fast,70,70,255,61,20
323,322,Camerupt,Eruption Pokémon,Common,No,Fire,Ground,Field,,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,460,220,485,191,"6'03""",Quadruped,0.5,Fast,70,-5,150,161,20
323M,323,Camerupt (Mega Camerupt),Eruption Pokémon,Common,No,Fire,Ground,Field,,Sheer Force,Solid Rock,Anger Point,70,120,100,145,105,20,560,321,707,249,"8'02""",Quadruped,0.5,Fast,70,-5,150,161,20
324,,Torkoal,Coal Pokémon,Common,No,Fire,,Field,,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,470,80,177,51,"1'08""",Quadruped,0.5,Fast,50,10,90,165,20
325,,Spoink,Bounce Pokémon,Common,No,Psychic,,Field,,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,330,31,68,71,"2'04""",Arms,0.5,Very Fast,70,70,255,66,20
326,325,Grumpig,Manipulate Pokémon,Common,No,Psychic,,Field,,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,470,71,158,89,"2'11""",Upright,0.5,Very Fast,60,-26,60,165,20
327,,Spinda,Spot Panda Pokémon,Common,No,Normal,,Field,Human-Like,Own Tempo,Tangled Feet,Contrary,60,60,60,60,60,60,360,5,11,109,"3'07""",Upright,0.5,Very Fast,70,65,255,126,15
328,,Trapinch,Ant Pit Pokémon,Uncommon,No,Ground,,Bug,,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,290,15,33,71,"2'04""",Armor,0.5,Slow,50,70,255,58,20
329,328,Vibrava,Vibration Pokémon,Uncommon,No,Ground,Dragon,Bug,,Levitate,Arena Trap,Sheer Force,50,70,50,50,50,70,340,15,34,109,"3'07""",Bug,0.5,Slow,50,12,120,119,20
330,329,Flygon,Mystic Pokémon,Uncommon,No,Ground,Dragon,Bug,,Levitate,Arena Trap,Sheer Force,80,100,80,80,80,100,520,82,181,201,"6'07""",Wings,0.5,Slow,40,-57,45,260,20
