ID,Name,Description,Old Name,Old Description,
348,TM32,The user goes to sleep for two turns. This fully restores the user’s HP and heals any status conditions.,tm32,Teaches Double Team to a compatible Pokémon.,
349,TM33,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.",tm33,Teaches Reflect to a compatible Pokémon. (Gen II: Ice Punch),
350,TM34,The user attacks and steals the target’s held item simultaneously. The user can’t steal anything if it already holds an item.,tm34,Teaches Sludge Wave to a compatible Pokémon. (Gen IV & III: Shock Wave Gen II: Swagger Gen I: Bide),
351,TM35,"The user makes a swift attack on the target’s legs, which lowers the target’s Speed stat.",tm35,Teaches Flamethrower to a compatible Pokémon. (Gen II: Sleep Talk Gen I: Metronome),
352,TM36,The user attacks the target with a song. Others can join in the Round to increase the power of the attack.,tm36,Teaches Sludge Bomb to a compatible Pokémon. (Gen I: Selfdestruct),
353,TM37,"The user attacks the target with an echoing voice. If this move is used every turn, its power is increased.",tm37,Teaches Sandstorm to a compatible Pokémon. (Gen I: Egg Bomb),
354,TM38,The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,tm38,Teaches Fire Blast to a compatible Pokémon.,
355,TM39,The target is hit with wings of steel. This may also raise the user’s Defense stat.,tm39,Teaches Rock Tomb to a compatible Pokémon. (Gen II & I: Swift),
356,TM40,The user heightens its mental focus and unleashes its power. This may also lower the target’s Sp. Def.,tm40,Teaches Aerial Ace to a compatible Pokémon. (Gen II: Defense Curl Gen I: Skull Bash),
357,TM41,The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def.,tm41,Teaches Torment to a compatible Pokémon. (Gen II: ThunderPunch Gen I: Softboiled),
358,TM42,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.,tm42,Teaches Facade to a compatible Pokémon. (Gen II & I: Dream Eater),
359,TM43,The user shoots boiling hot water at its target. This may also leave the target with a burn.,tm43,Teaches Flame Charge to a compatible Pokémon. (Gen IV & III: Secret Power Gen II: Detect Gen I: Sky Attack),
360,TM44,The user flings its held item at the target to attack. This move’s power and effects depend on the item.,tm44,Teaches Rest to a compatible Pokémon.,
361,TM45,The user attacks with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.,tm45,Teaches Attract to a compatible Pokémon. (Gen I: Thunder Wave),
362,TM46,"The user takes the target into the sky, then drops it during the next turn. The target cannot attack while in the sky.",tm46,Teaches Thief to a compatible Pokémon. (Gen I: Psywave),
363,TM47,The user swings its body around violently to inflict damage on everything in its vicinity.,tm47,Teaches Low Sweep to a compatible Pokémon. (Gen IV & III & II: Steel Wing Gen I: Explosion),
364,TM48,The user suppresses the target and makes its move go last.,tm48,Teaches Round to a compatible Pokémon. (Gen IV & III: Skill Swap Gen II: Fire Punch Gen I: Rock Slide),
365,TM49,"The user shoots a sinister, bluish-white flame at the target to inflict a burn.",tm49,Teaches Echoed Voice to a compatible Pokémon. (Gen IV & III: Snatch Gen II: Fury Cutter Gen I: Tri Attack),
366,TM50,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.",tm50,Teaches Overheat to a compatible Pokémon. (Gen II: Nightmare Gen I: Substitute),
367,TM51,This move prevents the target from using its held item for five turns. Its Trainer is also prevented from using items on it.,tm51,Teaches Ally Switch to a compatible Pokémon. (Gen IV: Roost),
368,TM52,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.,tm52,Teaches Focus Blast to a compatible Pokémon.,
369,TM53,The user slashes with a sharp claw made from shadows. Critical hits land more easily.,tm53,Teaches Energy Ball to a compatible Pokémon.,
370,TM54,"The user stores power, then attacks. If the user moves after the target, this attack’s power will be doubled.",tm54,Teaches False Swipe to a compatible Pokémon.,
371,TM55,The user stabs the target with a sharp horn. The attack never misses.,tm55,Teaches Scald to a compatible Pokémon. (Gen IV: Brine),
372,TM56,The user charges at the target using every bit of its power. The user can’t move on the next turn.,tm56,Teaches Fling to a compatible Pokémon.,
373,TM57,The user polishes its body to reduce drag. This can sharply raise the Speed stat.,tm57,Teaches Charge Beam to a compatible Pokémon.,
374,TM58,This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.,tm58,Teaches Sky Drop to a compatible Pokémon. (Gen IV: Endure),
375,TM59,The user stabs the target from below with sharpened stones. Critical hits land more easily.,tm59,Teaches Incinerate to a compatible Pokémon. (Gen IV: Dragon Pulse),
376,TM60,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",tm60,Teaches Quash to a compatible Pokémon. (Gen IV: Drain Punch),
377,TM61,The user launches a weak jolt of electricity that paralyzes the target.,tm61,Teaches Will-O-Wisp to a compatible Pokémon.,
378,TM62,"The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move’s power.",tm62,Teaches Acrobatics to a compatible Pokémon. (Gen IV: Silver Wind),
379,TM63,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.,tm63,Teaches Embargo to a compatible Pokémon.,
380,TM64,The user soars and then strikes its target on the next turn.,tm64,Teaches Explosion to a compatible Pokémon.,
381,TM65,The user hypnotizes itself into copying any stat change made by the target.,tm65,Teaches Shadow Claw to a compatible Pokémon.,
382,TM66,The user strikes everything around it by stomping down on the ground. This lowers the Speed stat of those hit.,tm66,Teaches Payback to a compatible Pokémon.,
383,TM67,The user blows its cold breath on the target. This attack always results in a critical hit.,tm67,Teaches Retaliate to a compatible Pokémon. (Gen IV: Recycle),
384,TM68,Large boulders are hurled at the opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.,tm68,Teaches Giga Impact to a compatible Pokémon.,
385,TM69,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.,tm69,Teaches Rock Polish to a compatible Pokémon.,
386,TM70,"The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",tm70,Teaches Flash to a compatible Pokémon.,
387,TM71,The target is infested and attacked for four to five turns. The target can’t flee during this time.,tm71,Teaches Stone Edge to a compatible Pokémon.,
388,TM72,The target is stabbed with a tentacle or arm steeped in poison. This may also poison the target.,tm72,Teaches Volt Switch to a compatible Pokémon. (Gen IV: Avalanche),
389,TM73,The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal its own HP.,tm73,Teaches Thunder Wave to a compatible Pokémon.,
390,TM74,"The user snares the target with grass and trips it. The heavier the target, the greater the move’s power.",tm74,Teaches Gyro Ball to a compatible Pokémon.,
391,TM75,"The user enrages and confuses the target. However, this also sharply raises the target’s Attack stat.",tm75,Teaches Swords Dance to a compatible Pokémon.,
392,TM76,"While it is asleep, the user randomly uses one of the moves it knows.",tm76,Teaches Struggle Bug to a compatible Pokémon. (Gen IV: Stealth Rock),
393,TM77,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",tm77,Teaches Psych Up to a compatible Pokémon.,
394,TM78,The user makes a copy of itself using some of its HP. The copy serves as the user’s decoy.,tm78,Teaches Bulldoze to a compatible Pokémon. (Gen IV: Captivate),
395,TM79,The user gathers all its light energy and releases it all at once. This may also lower the target’s Sp. Def stat.,tm79,Teaches Frost Breath to a compatible Pokémon. (Gen IV: Dark Pulse),
396,TM80,The user creates a bizarre area in which slower Pokémon get to move first for five turns.,tm80,Teaches Rock Slide to a compatible Pokémon.,
397,TM81,The target is cut with a scythe or claw. This can also be used to cut down thin trees.,tm81,Teaches X-Scissor to a compatible Pokémon.,
398,TM82,The user soars and then strikes its target on the next turn. This can also be used to fly to any familiar town.,tm82,Teaches Dragon Tail to a compatible Pokémon. (Gen IV: Sleep Talk),
399,TM83,The user attacks everything around it by swamping its surroundings with a giant wave.,tm83,Teaches Work Up to a compatible Pokémon. (Gen IV: Natural Gift),
400,TM84,The target is slugged with a punch thrown at maximum power. This can also be used to move heavy boulders.,tm84,Teaches Poison Jab to a compatible Pokémon.,
401,TM85,The user charges at the target and may make it flinch. This can also be used to climb a waterfall.,tm85,Teaches Dream Eater to a compatible Pokémon.,
402,TM86,The user attacks with a punch. This may also lower the target’s Defense stat. This move can also shatter rocks in the field.,tm86,Teaches Grass Knot to a compatible Pokémon.,
403,TM87,"Diving on the first turn, the user floats up and attacks on the next turn.",tm87,Teaches Swagger to a compatible Pokémon.,
405,TM88,A bag filled with convenient tools for exploring. It provides access to the Underground in the Sinnoh region.,tm88,Teaches Pluck to a compatible Pokémon.,
406,TM89,"A sturdy, spacious bag that is used to carry any treasures or loot obtained in the coal mine.",tm89,Teaches U-turn to a compatible Pokémon.,
407,TM90,"It lists the rules for holding battles. For Link Battles, you may choose which set of rules you wish to use.",tm90,Teaches Substitute to a compatible Pokémon.,
408,TM91,A tool that can search out Pokémon that are hiding in the tall grass. Its battery is recharged as you walk.,tm91,Teaches Flash Cannon to a compatible Pokémon.,
409,TM92,A card that lists how many Battle Points you have earned.,tm92,Teaches Trick Room to a compatible Pokémon.,
410,HM01,A notebook that keeps a day-to-day record of your adventure so far.,hm01,Teaches Cut to a compatible Pokémon.,
411,HM02,A case for storing Seals that can be applied to the exteriors of Poké Balls.,hm02,Teaches Fly to a compatible Pokémon.,
412,HM03,A lovely case to store colorful Props for your Pokémon to wear in a musical.,hm03,Teaches Surf to a compatible Pokémon.,
413,HM04,A tiny bag that can hold 10 Seals for decorating Poké Balls.,hm04,Teaches Strength to a compatible Pokémon.,
414,HM05,A convenient notepad that is used to register your Friends and friend codes and keep a record of your gameplay.,hm05,Teaches Waterfall to a compatible Pokémon. (HS: Whirlpool DPP: Defog Gen III & II & I: Flash),
415,HM06,A large key for operating the doors of the Valley Windworks in the canyon. It was held by a Team Galactic Grunt.,hm06,Teaches Dive to a compatible Pokémon. (Gen IV & III: Rock Smash Gen II: Whirlpool),
416,HM07,An ancient good-luck charm made of Pokémon bones to be taken to the elder of Celestic Town.,hm07,Teaches a move to a compatible Pokémon. (Gen IV & III & II: Waterfall),
417,HM08,"A card key for disengaging the security systems in the Galactic HQ. Losing it can result in punishment, apparently.",hm08,Teaches a move to a compatible Pokémon. (Gen IV: Rock Climb Gen III: Dive),
418,Explorer Kit,A mythical chain that is said to link the Legendary Pokémon that created the Sinnoh region.,explorer-kit,Allows visiting the Underground.,
419,Loot Sack,A very convenient map that can be viewed anytime. It even shows you your present location in the region.,loot-sack,Carries coal mine loot.,
420,Rule Book,A device that indicates Trainers who want to battle. Its battery charges while you walk.,rule-book,List of battle types and their rules.,
421,Poké Radar,"A case for holding coins obtained at the Game Corner. It can hold up to 50,000 coins.",poke-radar,Use to track down rare or shiny Pokémon. 50 steps to recharge.,
422,Point Card,An old and beat-up fishing rod. Use it at any body of water to fish for wild aquatic Pokémon.,point-card,Keeps count of Battle Points earned.,
423,Journal,"A new, good-quality fishing rod. Use it at any body of water to fish for wild aquatic Pokémon.",journal,Records prior significant activities the player took.,
424,Seal Case,"An awesome, high-tech fishing rod. Use it at any body of water to fish for wild aquatic Pokémon.",seal-case,Stores Seals that can be applied to Poké Ball capsules.,
425,Fashion Case,"A watering can shaped like a Psyduck. It helps promote the healthy growth of any Berries planted in good, soft soil.",fashion-case,Holds Pokémon Accessories for use in Contests.,
426,Seal Bag,A case for storing Poffins cooked from Berries.,seal-bag,Holds ten Seals for Poké Balls.,
428,Pal Pad,"A key to one of the suites at a certain luxury hotel by a lake. For some odd reason, it often disappears.",pal-pad,Use to record Friend Codes and check your own.,
429,Works Key,A letter from Professor Oak. Written in it is a request for you to go to Route 224.,works-key,Grants access to Valley Windworks.,
430,Old Charm,A feather that glows like the moon. It’s said to possess the power to dispel nightmares.,old-charm,Trade to Cynthia's grandmother in Celestic Town for HM04 (Surf).,
431,Galactic Key,"A card needed for entering the inn in Canalave City. Oddly, the last date marked on it was 50 years ago.",galactic-key,Grants access to Galactic HQ in Veilstone City.,
432,Red Chain,A flute that puts out echoing sounds that do not seem to be of this world. No one knows who made it.,red-chain,Used to bind Palkia and Dialga.,
433,Town Map,A ticket required for sailing on the ferry S.S. Aqua. It has a drawing of a ship on its front.,town-map,Use to see the overworld map.,
434,Vs. Seeker,A pass required for entering Pokémon Contests. It has a drawing of an award ribbon on its front.,vs-seeker,Allows rebattling of on-screen trainers. 100 steps to recharge.,
435,Coin Case,"A stone formed by boulders melting in intensely hot magma, then hardening. Magma remains sealed inside it.",coin-case,Holds coins for the Game Corner.,
436,Old Rod,A parcel entrusted into your care. You’re supposed to deliver it to your childhood friend who left Twinleaf Town.,old-rod,Used to catch Pokémon in bodies of water.,
437,Good Rod,A coupon to be exchanged for a Pokémon Watch— Pokétch for short. Three coupons are needed.,good-rod,Used to catch Pokémon in bodies of water.,
438,Super Rod,A coupon to be exchanged for a Pokémon Watch— Pokétch for short. Three coupons are needed.,super-rod,Used to catch Pokémon in bodies of water.,
439,Sprayduck,A coupon to be exchanged for a Pokémon Watch— Pokétch for short. Three coupons are needed.,sprayduck,Used to water berries.,
441,Poffin Case,A fantastic medicine dispensed by the pharmacy in Cianwood City. It fully heals a Pokémon of any ailment.,poffin-case,Holds Poffins.,
442,Bicycle,A glowing orb to be held by Giratina. It boosts the power of Dragon- and Ghost-type moves when it is held.,bicycle,Use for fast transit.,
443,Suite Key,An amazing device that can record a battle between friends or the battles at certain special battle facilities.,suite-key,Opens a locked building in the Lakeside Resort.,
444,Oak’s Letter,A flower sometimes bundled in bouquets to convey gratitude on special occasions like birthdays.,oaks-letter,"Allows access to Seabreak path, Flower Paradise, and Shaymin.",
445,Lunar Wing,A high-tech key that has to be used at a specific location. It emits a special electronic signal to open a door.,lunar-wing,Cures sailor's son of nightmares in Canalave City.,
446,Member Card,A handy box where you can store up to 99 of each kind of Apricorn.,member-card,Allows access to Newmoon Island and Darkrai.,
447,Azure Flute,Handy containers for cultivating Berries wherever you go.,azure-flute,Allows entry into the Hall of Origin. Unreleased.,
448,S.S. Ticket,A bottle used for watering plants in the Berry Pots.,ss-ticket,Ticket for a ship. (RSE: S.S. Tidal LF: S.S. Anne HG: S.S. Aqua),
449,Contest Pass,A Poké Ball that is good for catching Pokémon that you reel in with a rod while out fishing.,contest-pass,Allows participation in Pokémon Contests.,
450,Magma Stone,A Poké Ball that makes it easier to catch Pokémon that are at a lower level than your own Pokémon.,magma-stone,Magma is sealed inside.,
451,Parcel,A Poké Ball that will make it easier to catch Pokémon that can evolve using a Moon Stone.,parcel,Given to the trainer's rival in Jubilife City. Contains Town Maps.,
452,Coupon 1,A Poké Ball that is better than usual at catching very heavy Pokémon.,coupon-1,The first of three tickets used to obtain a Pokétch.,
453,Coupon 2,A Poké Ball that makes it easier to catch Pokémon that are usually very quick to run away.,coupon-2,The second of three tickets used to obtain a Pokétch.,
454,Coupon 3,A strange Poké Ball that will make the wild Pokémon caught with it more friendly toward you immediately.,coupon-3,The last of three tickets used to obtain a Pokétch.,
455,Storage Key,A Poké Ball that works best when catching a Pokémon that is of the opposite gender of your Pokémon.,storage-key,Grants access to the Team Galactic warehouse in Veilstone City.,
456,Secret Potion,A special Poké Ball for the Pal Park.,secret-potion,Used to heal the Ampharos at the top of Olivine Lighthouse.,
457,Griseous Orb,A special Poké Ball that is used during the Bug-Catching Contest.,griseous-orb,"Boosts the damage from Giratina's Dragon-type and Ghost-type moves by 20%, and transforms it into Origin Forme.",
458,Vs. Recorder,A red Apricorn. It assails your nostrils.,vs-recorder,"Records wireless, Wi-Fi, or Battle Frontier battles, and stores points.",
459,Gracidea,A blue Apricorn. It smells a bit like grass.,gracidea,Changes an unfrozen Shaymin to Sky Forme in the day.,
460,Secret Key,A yellow Apricorn. It has an invigorating scent.,secret-key,Gen IV: The key to Rotom's appliance room. Gen III: The key to Cinnabar Gym.,
461,Apricorn Box,"A green Apricorn. It has a mysterious, aromatic scent.",apricorn-box,Holds Apricorns.,
462,Berry Pots,"A pink Apricorn. It has a nice, sweet scent.",berry-pots,Allows portable berry growing.,
463,Squirt Bottle,A white Apricorn. It doesn’t smell like anything.,squirt-bottle,Use on Sudowoodo blocking the path on Route 36. Also waters berries.,
464,Lure Ball,A black Apricorn. It has a scent beyond one’s experience.,lure-ball,3× effectiveness while fishing. Made from Blu Apricorn.,
465,Level Ball,This high-tech machine shows the location of invisible items. It’s attached to the head when in use.,level-ball,Success rate based off of fraction target Pokémon is of user's Pokémon. Made from Red Apricorn.,
466,Moon Ball,Mahogany Town’s famous candy. It can be used once to heal all the status conditions of a Pokémon.,moon-ball,4× effectiveness on familes of Pokémon with a Moon Stone evolution. Made from Ylw Apricorn.,
467,Heavy Ball,A shiny red orb that is said to have a legend tied to it. It’s known to have a deep connection with the Hoenn region.,heavy-ball,Has flat bonus or penalty to catch rate depending on weight class of target. Made from Blk Apricorn.,
468,Fast Ball,A shiny blue orb that is said to have a legend tied to it. It’s known to have a deep connection with the Hoenn region.,fast-ball,4× effectiveness on Pokémon with 100 or greater base speed. (Gen II: Roaming or Fleeing Pokémon). Made from Wht Apricorn.,
469,Friend Ball,A shiny green orb that is said to have a legend tied to it. It’s known to have a deep connection with the Hoenn region.,friend-ball,Caught Pokémon start with 200 happiness. Made from Grn Apricorn.,
470,Love Ball,A crystal ball that was excavated from the ground. It’s a very beautiful stone that is covered with bits of rock and earth.,love-ball,"8× effectiveness on opposite sex, same species targets of the Active Pokémon. Made from Pnk Apricorn.",
471,Park Ball,A report of all the discovered kinds of Unown.,park-ball,Catches Pokémon in the Pal Park every time.,
472,Sport Ball,A card to save points for the Buena’s Password show.,sport-ball,Tries to catch a Pokémon in the Bug-Catching contest in National Park. (Gen II: Park Ball),
473,Red Apricorn,A very tasty tail of something. It can be sold at a high price to shops.,red-apricorn,Used to make a Level Ball.,
474,Blue Apricorn,A very old-fashioned bell that makes a gentle ringing sound.,blue-apricorn,Used to make a Lure Ball.,
475,Yellow Apricorn,A card key that opens a shutter in the Radio Tower.,yellow-apricorn,Used to make a Moon Ball.,
477,Green Apricorn,A scale from a red Gyarados. It glows red like a flame.,green-apricorn,Used to make a Friend Ball.,
478,Pink Apricorn,The Mime Jr. doll that was lost by the Copycat.,pink-apricorn,Used to make a Love Ball.,
479,White Apricorn,A pass required for riding the Magnet Train. It allows you to ride whenever and however much you’d like.,white-apricorn,Used to make a Fast Ball.,
480,Black Apricorn,An important part of a machine that was stolen from the Power Plant.,black-apricorn,Used to make a Heavy Ball.,
481,Dowsing Machine,"A strange, silvery feather that sparkles.",dowsing-machine,Use to find hidden items on the field. AKA Itemfinder.,
482,Rage Candy Bar,A mystical rainbow feather that sparkles.,rage-candy-bar,HS: Traded for TM64. Gen II & Gen V: Acts as a Potion.,
483,Red Orb,A mysterious Egg obtained from Mr. Pokémon. What is in the Egg is unknown.,red-orb,Summons Groudon to the Embedded Tower.,
484,Blue Orb,A music player that allows you to listen to nostalgic songs. It’s operated with the flip of a single switch.,blue-orb,Summons Kyogre to the Embedded Tower.,
485,Jade Orb,A very old-fashioned bell that makes a gentle ringing sound.,jade-orb,Summons Rayquaza to the Embedded Tower.,
486,Enigma Stone,It holds Pokéathlon records. It is a card that shows how many victories you have had in the Pokéathlon.,enigma-stone,S: Summons Latias H: Summons Latios.,
487,Unown Report,It holds Pokéathlon records. It is a card that shows how many losses you have had in the Pokéathlon.,unown-report,Keeps track of Unown types caught.,
488,Blue Card,It holds Pokéathlon records. It is a card that shows how many times your Pokémon dashed in the Pokéathlon.,blue-card,Keeps track of points from Buena's show.,
489,Slowpoke Tail,It holds Pokéathlon records. It is a card that shows how many times your Pokémon jumped in the Pokéathlon.,slowpoke-tail,A tasty tail that sells for a high price.,
490,Clear Bell,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Hurdle Dash.,clear-bell,HS: Allows Kimono-girls to summon Ho-oh. C: Summons Suicune to the Tin Tower.,
491,Card Key,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Relay Run.,card-key,HS: Opens doors in the Radio Tower. Gen III: Unlocks Silph Co Doors.,
492,Basement Key,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Pennant Capture.,basement-key,HS: Key to the tunnel under Goldenrod City. Gen III: Key to New Mauville.,
493,Red Scale,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Block Smash.,red-scale,Trade to Mr. Pokémon for an Exp. Share.,
494,Lost Item,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Disc Catch.,lost-item,A Poké Doll lost by the Copycat who lives in Saffron City. Trade for a Pass.,
495,Pass,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Snow Throw.,pass,Grants access to ride the Magnet Train between Goldenrod City and Saffron City.,
496,Machine Part,It holds Pokéathlon records. It is a card that shows how many points your Pokémon scored in the Pokéathlon.,machine-part,Must be replaced in the Power Plant to power the Magnet Train.,
497,Silver Wing,It holds Pokéathlon records. It is a card that shows how many times your Pokémon failed in the Pokéathlon.,silver-wing,Summons Lugia to the Whirl Islands.,
498,Rainbow Wing,It holds Pokéathlon records. It is a card that shows how many times your Pokémon impeded themselves.,rainbow-wing,Summons Ho-Oh at the top of the Bell Tower.,
499,Mystery Egg,It holds Pokéathlon records. It is a card that shows how many times your Pokémon tackled in the Pokéathlon.,mystery-egg,Deliver to Professor Elm.,
500,GB Sounds,It holds Pokéathlon records. It is a card that shows how many times your Pokémon fell down in the Pokéathlon.,gb-sounds,Use to listen to GameBoy era audio.,
501,Tidal Bell,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Ring Drop.,tidal-bell,Allows Kimono-girls to summon Lugia.,
502,Data Card 01,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Lamp Jump.,data-card-01,Records the number of times the trainer has come in first place overall in the Pokéathlon.,
503,Data Card 02,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Circle Push.,data-card-02,Records the number of times the trainer has come in last place overall in the Pokéathlon.,
504,Data Card 03,It holds Pokéathlon records. It is a card that shows how many Link Pokéathlon wins you have had.,data-card-03,Records the number of times the trainer's Pokémon have dashed in the Pokéathlon.,
505,Data Card 04,It holds Pokéathlon records. It is a card that shows how many Link Pokéathlon losses you have had.,data-card-04,Records the number of times the trainer's Pokémon have jumped in the Pokéathlon.,
506,Data Card 05,It holds Pokéathlon records. It is a card that shows how many times you have won a Pokéathlon event.,data-card-05,Records the number of times the trainer has come in first in the Pokéathlon Hurdle Dash.,
507,Data Card 06,It holds Pokéathlon records. It is a card that shows how many times you have lost a Pokéathlon event.,data-card-06,Records the number of times the trainer has come in first in the Pokéathlon Relay Run.,
508,Data Card 07,It holds Pokéathlon records. It is a card that shows how many times you switched Pokémon in the Pokéathlon.,data-card-07,Records the number of times the trainer has come in first in the Pokéathlon Pennant Capture.,
509,Data Card 08,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Goal Roll.,data-card-08,Records the number of times the trainer has come in first in the Pokéathlon Block Smash.,
510,Data Card 09,It holds Pokéathlon records. It is a card that shows how many times your Pokémon won individual prizes.,data-card-09,Records the number of times the trainer has come in first in the Pokéathlon Disc Catch.,
511,Data Card 10,It holds Pokéathlon records. It is a card that shows how many times you instructed your Pokémon.,data-card-10,Records the number of times the trainer has come in first in the Pokéathlon Snow Throw.,
512,Data Card 11,It holds Pokéathlon records. It is a card that shows how much time you spent participating in the Pokéathlon.,data-card-11,Records the number of points the trainer has earned in the Pokéathlon.,
513,Data Card 12,A sturdy Capsule that can only be opened with a special key.,data-card-12,Records the number of times the trainer's Pokémon have messed up in the Pokéathlon.,
514,Data Card 13,A nice photo album for storing all the photos taken along your adventure.,data-card-13,Records the number of times the trainer's Pokémon have defeated themselves in the Pokéathlon.,
527,Data Card 14,This folding Bike more than doubles your movement speed.,data-card-14,Records the number of times the trainer's Pokémon have tackled in the Pokéathlon.,
528,Data Card 15,This folding Bike allows you to perform actions such as wheelies and bunny hops.,data-card-15,Records the number of times the trainer's Pokémon have fallen in the Pokéathlon.,
529,Data Card 16,This is a tool for watering Berries you planted to make them grow more quickly.,data-card-16,Records the number of times the trainer has come in first in the Pokéathlon Ring Drop.,
531,Data Card 17,A sack used to gather and hold volcanic ash.,data-card-17,Records the number of times the trainer has come in first in the Pokéathlon Lamp Jump.,
533,Data Card 18,An extremely important letter to Steven from the President of Devon Corporation.,data-card-18,Records the number of times the trainer has come in first in the Pokéathlon Circle Push.,
534,Data Card 19,"The ticket required for sailing on a ferry to the Southern Island. Does Norman, the Petalburg Gym Leader, know a secret?!",data-card-19,Records the number of times the trainer has come in first place overall in the Pokéathlon over wirelss.,
535,Data Card 20,A device found inside Sea Mauville.,data-card-20,Records the number of times the trainer has come in last place overall in the Pokéathlon over wireless.,
536,Data Card 21,Nifty goggles to protect eyes from desert sandstorms.,data-card-21,Records the number of times the trainer has come in first across all Pokéathlon events.,
537,Data Card 22,A Meteorite originally found at Meteor Falls. You got it at Mt. Chimney.,data-card-22,Records the number of times the trainer has come in last across all Pokéathlon events.,
542,Data Card 23,A special device made by Devon Corporation that signals the presence of any unseen Pokémon.,data-card-23,Records the number of times the trainer has switched Pokémon in the Pokéathlon.,
544,Data Card 24,A flute that can play with such a beautiful tone that even sleeping Pokémon find themselves roused.,data-card-24,Records the number of times the trainer has come in first in the Pokéathlon Goal Roll.,
563,Data Card 25,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Water type.,data-card-25,Records the number of times the trainer's Pokémon received prizes in the Pokéathlon.,
564,Data Card 26,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Electric type.,data-card-26,Records the number of times the trainer has instructed Pokémon in the Pokéathlon.,
565,Data Card 27,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Fire type.,data-card-27,Records the total time spent in the Pokéathlon.,
566,Lock Capsule,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Ice type.,lock-capsule,Contains TM95 (Snarl).,
567,Photo Album,"A piece of cloyingly sweet chocolate. When consumed, it restores 20 HP to an injured Pokémon.",photo-album,Stores photos from your adventure.,
568,Orange Mail,Stationery designed to be easy to use when writing someone for the first time. Have a Pokémon hold it for delivery.,orange-mail,Lets a Trainer write a message and send it via Pokémon trade.,
569,Harbor Mail,Stationery designed to make it easier to write about your favorite things. Have a Pokémon hold it for delivery.,harbor-mail,Lets a Trainer write a message and send it via Pokémon trade.,
570,Glitter Mail,Stationery designed to allow you to extend an invitation to the recipient. Have a Pokémon hold it for delivery.,glitter-mail,Lets a Trainer write a message and send it via Pokémon trade.,
571,Mech Mail,Stationery designed to make it easy for you to express thanks. Have a Pokémon hold it for delivery.,mech-mail,Lets a Trainer write a message and send it via Pokémon trade.,
572,Wood Mail,Stationery designed to make it easier to pose a question about something. Have a Pokémon hold it for delivery.,wood-mail,Lets a Trainer write a message and send it via Pokémon trade.,
573,Wave Mail,Stationery designed to allow you to recommend something to the reader. Have a Pokémon hold it for delivery.,wave-mail,Lets a Trainer write a message and send it via Pokémon trade.,
574,Bead Mail,Stationery designed to make it easy to respond to a letter you received. Have a Pokémon hold it for delivery.,bead-mail,Lets a Trainer write a message and send it via Pokémon trade.,
575,Shadow Mail,Stationery featuring an illustration of a bridge that seems to pierce the sky. Have a Pokémon hold it for delivery.,shadow-mail,Lets a Trainer write a message and send it via Pokémon trade.,
576,Tropic Mail,Stationery featuring an illustration of a bright-red drawbridge. Have a Pokémon hold it for delivery.,tropic-mail,Lets a Trainer write a message and send it via Pokémon trade.,
577,Dream Mail,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.,dream-mail,Lets a Trainer write a message and send it via Pokémon trade.,
578,Fab Mail,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.,fab-mail,Lets a Trainer write a message and send it via Pokémon trade.,
579,Retro Mail,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.,retro-mail,Lets a Trainer write a message and send it via Pokémon trade.,
