id,identifier,name,flavor_text,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
412,energy-ball,Energy Ball,The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def stat.,4,12,90,10,100,0,10,3,73,10,2,,17
413,brave-bird,Brave Bird,The user tucks in its wings and charges from a low altitude. This also damages the user quite a lot.,4,3,120,15,100,0,10,2,199,,3,,18
414,earth-power,Earth Power,The user makes the ground under the target erupt with power. This may also lower the target’s  Sp. Def stat.,4,5,90,10,100,0,10,3,73,10,4,,18
415,switcheroo,Switcheroo,The user trades held items with the target faster than the eye can follow.,4,17,,10,100,0,10,1,178,,1,,12
416,giga-impact,Giga Impact,The user charges at the target using every bit of its power. The user can’t move on the next turn.,4,1,150,5,90,0,10,2,81,,2,,22
417,nasty-plot,Nasty Plot,The user stimulates its brain by thinking bad thoughts. This sharply raises the user’s Sp. Atk stat.,4,17,,20,,0,7,1,54,,3,,11
418,bullet-punch,Bullet Punch,The user strikes the target with tough punches as fast as bullets. This move always goes first.,4,9,40,30,100,1,10,2,104,,4,,1
419,avalanche,Avalanche,The power of this attack move is doubled if the user has been hurt by the target in the same turn.,4,15,60,10,100,-4,10,2,186,,1,,15
420,ice-shard,Ice Shard,The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.,4,15,40,30,100,1,10,2,104,,2,,1
421,shadow-claw,Shadow Claw,The user slashes with a sharp claw made from shadows. Critical hits land more easily.,4,8,70,15,100,0,10,2,44,,3,,17
422,thunder-fang,Thunder Fang,The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis.,4,13,65,15,95,0,10,2,276,10,4,,5
423,ice-fang,Ice Fang,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.,4,15,65,15,95,0,10,2,275,10,1,,5
424,fire-fang,Fire Fang,The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.,4,10,65,15,95,0,10,2,274,10,2,,5
425,shadow-sneak,Shadow Sneak,The user extends its shadow and attacks the target from behind. This move always goes first.,4,8,40,30,100,1,10,2,104,,4,,1
426,mud-bomb,Mud Bomb,The user launches a hard-packed mud ball to attack. This may also lower the target’s accuracy.,4,5,65,10,85,0,10,3,74,30,4,,18
427,psycho-cut,Psycho Cut,The user tears at the target with blades formed by psychic power. Critical hits land more easily.,4,14,70,20,100,0,10,2,44,,1,,17
428,zen-headbutt,Zen Headbutt,The user focuses its willpower to its head and attacks the target. This may also make the target flinch.,4,14,80,15,90,0,10,2,32,20,2,,18
429,mirror-shot,Mirror Shot,The user lets loose a flash of energy at the target from its polished body. This may also lower the target’s accuracy.,4,9,65,10,85,0,10,3,74,30,3,,17
430,flash-cannon,Flash Cannon,The user gathers all its light energy and releases it all at once. This may also lower the target’s Sp. Def stat.,4,9,80,10,100,0,10,3,73,10,4,,17
431,rock-climb,Rock Climb,The user attacks the target by smashing into it with incredible force. This may also confuse the target.,4,1,90,20,85,0,10,2,77,20,1,,18
432,defog,Defog,A strong wind blows away the target’s barriers such as Reflect or Light Screen. This also lowers the target’s evasiveness.,4,3,,15,,0,10,1,259,,2,,13
433,trick-room,Trick Room,The user creates a bizarre area in which slower Pokémon get to move first for five turns.,4,14,,5,,-7,12,1,260,,3,,14
434,draco-meteor,Draco Meteor,Comets are summoned down from the sky onto the target. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,4,16,130,5,90,0,10,3,205,100,4,,22
435,discharge,Discharge,The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis.,4,13,80,15,100,0,9,3,7,30,1,,17
436,lava-plume,Lava Plume,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.,4,10,80,15,100,0,9,3,5,30,5,,17
437,leaf-storm,Leaf Storm,The user whips up a storm of leaves around the target. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,4,12,130,5,90,0,10,3,205,100,3,,22
438,power-whip,Power Whip,The user violently whirls its vines tentacles or the  like to harshly lash the target.,4,12,120,10,85,0,10,2,1,,2,,5
439,rock-wrecker,Rock Wrecker,The user launches a huge boulder at the target to attack. The user can’t move on the next turn.,4,6,150,5,90,0,10,2,81,,5,,22
440,cross-poison,Cross Poison,A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.,4,4,70,20,100,0,10,2,210,10,1,,5
441,gunk-shot,Gunk Shot,The user shoots filthy garbage at the target to attack. This may also poison the target.,4,4,120,5,80,0,10,2,3,30,1,,5
442,iron-head,Iron Head,The user slams the target with its steel-hard head. This may also make the target flinch.,4,9,80,15,100,0,10,2,32,30,5,,18
443,magnet-bomb,Magnet Bomb,The user launches steel bombs that stick to the target. This attack never misses.,4,9,60,20,,0,10,2,18,,1,,5
444,stone-edge,Stone Edge,The user stabs the target from below with sharpened stones. Critical hits land more easily.,4,6,100,5,80,0,10,2,44,,5,,4
445,captivate,Captivate,If any opposing Pokémon is the opposite gender of the user it is charmed which harshly lowers its Sp. Atk stat.,4,1,,20,100,0,11,1,266,,2,,19
446,stealth-rock,Stealth Rock,The user lays a trap of levitating stones around the opposing team. The trap hurts opposing Pokémon that switch into battle.,4,6,,20,,0,6,1,267,,1,,13
447,grass-knot,Grass Knot,The user snares the target with grass and trips it. The heavier the target the greater the move’s power.,4,12,,20,100,0,10,3,197,,4,,4
448,chatter,Chatter,The user attacks the target with sound waves of deafening chatter. This confuses the target.,4,3,65,20,100,0,10,3,268,100,4,,23
449,judgment,Judgment,The user releases countless shots of light at the target. This move’s type varies depending on the kind of Plate the user is holding.,4,1,100,10,100,0,10,3,269,,4,,14
450,bug-bite,Bug Bite,The user bites the target. If the target is holding a Berry the user eats it and gains its effect.,4,7,60,20,100,0,10,2,225,,5,,12
451,charge-beam,Charge Beam,The user attacks with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.,4,13,50,10,90,0,10,3,277,70,2,,17
452,wood-hammer,Wood Hammer,The user slams its rugged body into the target to attack. This also damages the user quite a lot.,4,12,120,15,100,0,10,2,199,,5,,18
453,aqua-jet,Aqua Jet,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.,4,11,40,20,100,1,10,2,104,,2,,1
454,attack-order,Attack Order,The user calls out its underlings to pummel the target. Critical hits land more easily.,4,7,90,15,100,0,10,2,44,,4,,4
455,defend-order,Defend Order,The user calls out its underlings to shield its body raising its Defense and Sp. Def stats.,4,7,,10,,0,7,1,207,,4,,11
456,heal-order,Heal Order,The user calls out its underlings to heal it. The user regains up to half of its max HP.,4,7,,10,,0,7,1,33,,4,,8
457,head-smash,Head Smash,The user attacks the target with a hazardous full-power headbutt. This also damages the user terribly.,4,6,150,5,80,0,10,2,270,,5,,22
458,double-hit,Double Hit,The user slams the target with a long tail vines or a tentacle. The target is hit twice in a row.,4,1,35,10,90,0,10,2,45,,4,,7
459,roar-of-time,Roar of Time,The user blasts the target with power that distorts even time. The user can’t move on the next turn.,4,16,150,5,90,0,10,3,81,,1,,22
460,spacial-rend,Spacial Rend,The user tears the target along with the space around it. Critical hits land more easily.,4,16,100,5,95,0,10,3,44,,5,,4
461,lunar-dance,Lunar Dance,The user faints. In return the Pokémon taking its place will have its status and HP fully restored.,4,14,,10,,0,7,1,271,,2,,8
462,crush-grip,Crush Grip,The target is crushed with great force. The more HP the target has left the greater this move’s power.,4,1,,5,100,0,10,2,238,,5,,15
463,magma-storm,Magma Storm,The target becomes trapped within a maelstrom of fire that rages for four to five turns.,4,10,100,5,75,0,10,3,43,100,5,,7
464,dark-void,Dark Void,Opposing Pokémon are dragged into a world of total darkness that makes them sleep.,4,17,,10,50,0,11,1,2,,4,,19
465,seed-flare,Seed Flare,The user emits a shock wave from its body to attack its target. This may also harshly lower the target’s Sp. Def stat.,4,12,120,5,85,0,10,3,272,40,1,,22
466,ominous-wind,Ominous Wind,The user blasts the target with a gust of repulsive wind. This may also raise all the user’s stats at once.,4,8,60,5,100,0,10,3,141,10,4,,11
467,shadow-force,Shadow Force,The user disappears then strikes the target on the next turn. This move hits even if the target protects itself.,4,8,120,5,100,0,10,2,273,,4,,22
468,hone-claws,Hone Claws,The user sharpens its claws to boost its Attack stat and accuracy.,5,17,,15,,0,7,1,278,,,,
469,wide-guard,Wide Guard,The user and its allies are protected from wide-ranging attacks for one turn.,5,6,,10,,3,4,1,279,,,,
470,guard-split,Guard Split,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.,5,14,,10,,0,10,1,280,,,,
471,power-split,Power Split,The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.,5,14,,10,,0,10,1,281,,,,
472,wonder-room,Wonder Room,The user creates a bizarre area in which Pokémon’s Defense and Sp. Def stats are swapped for five turns.,5,14,,10,,0,12,1,282,,,,
473,psyshock,Psyshock,The user materializes an odd psychic wave to attack the target. This attack does physical damage.,5,14,80,10,100,0,10,3,283,,,,
474,venoshock,Venoshock,The user drenches the target in a special poisonous liquid. This move’s power is doubled if the target is poisoned.,5,4,65,10,100,0,10,3,284,,,,
475,autotomize,Autotomize,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.,5,9,,15,,0,7,1,285,,,,
476,rage-powder,Rage Powder,The user scatters a cloud of irritating powder to draw attention to itself. Opponents aim only at the user.,5,7,,20,,2,7,1,173,,,,
477,telekinesis,Telekinesis,The user makes the target float with its psychic power. The target is easier to hit for three turns.,5,14,,15,,0,10,1,286,,,,
478,magic-room,Magic Room,The user creates a bizarre area in which Pokémon’s held items lose their effects for five turns.,5,14,,10,,0,12,1,287,,,,
479,smack-down,Smack Down,The user throws a stone or similar projectile to attack an opponent. A flying Pokémon will fall to the ground when it’s hit.,5,6,50,15,100,0,10,2,288,100,,,
480,storm-throw,Storm Throw,The user strikes the target with a fierce blow. This attack always results in a critical hit.,5,2,60,10,100,0,10,2,289,,,,
481,flame-burst,Flame Burst,The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.,5,10,70,15,100,0,10,3,290,,,,
482,sludge-wave,Sludge Wave,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.,5,4,95,10,100,0,9,3,3,10,,,
483,quiver-dance,Quiver Dance,The user lightly performs a beautiful mystic dance. This boosts the user’s Sp. Atk Sp. Def and Speed stats.,5,7,,20,,0,7,1,291,,,,
484,heavy-slam,Heavy Slam,The user slams into the target with its heavy body. The more the user outweighs the target the greater the move’s power.,5,9,,10,100,0,10,2,292,,,,
485,synchronoise,Synchronoise,Using an odd shock wave the user inflicts damage on any Pokémon of the same type in the area around it.,5,14,120,10,100,0,9,3,293,,,,
486,electro-ball,Electro Ball,The user hurls an electric orb at the target. The faster the user is than the target the greater the move’s power.,5,13,,10,100,0,10,3,294,,,,
487,soak,Soak,The user shoots a torrent of water at the target and changes the target’s type to Water.,5,11,,20,100,0,10,1,295,,,,
488,flame-charge,Flame Charge,Cloaking itself in flame the user attacks. Then building up more power the user raises its Speed stat.,5,10,50,20,100,0,10,2,296,100,,,
489,coil,Coil,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.,5,4,,20,,0,7,1,323,,,,
490,low-sweep,Low Sweep,The user makes a swift attack on the target’s legs which lowers the target’s Speed stat.,5,2,65,20,100,0,10,2,21,100,,,
491,acid-spray,Acid Spray,The user spits fluid that works to melt the target. This harshly lowers the target’s Sp. Def stat.,5,4,40,20,100,0,10,3,297,100,,,
492,foul-play,Foul Play,The user turns the target’s power against it. The higher the target’s Attack stat the greater the move’s power.,5,17,95,15,100,0,10,2,298,,,,
493,simple-beam,Simple Beam,The user’s mysterious psychic wave changes the target’s Ability to Simple.,5,1,,15,100,0,10,1,299,,,,
494,entrainment,Entrainment,The user dances with an odd rhythm that compels the target to mimic it making the target’s Ability the same as the user’s.,5,1,,15,100,0,10,1,300,,,,
495,after-you,After You,The user helps the target and makes it use its move right after the user.,5,1,,15,,0,10,1,301,,,,
496,round,Round,The user attacks the target with a song. Others can join in the Round to increase the power of the attack.,5,1,60,15,100,0,10,3,302,,,,
497,echoed-voice,Echoed Voice,The user attacks the target with an echoing voice. If this move is used every turn its power is increased.,5,1,40,15,100,0,10,3,303,,,,
498,chip-away,Chip Away,Looking for an opening the user strikes consistently. The target’s stat changes don’t affect this attack’s damage.,5,1,70,20,100,0,10,2,304,,,,
499,clear-smog,Clear Smog,The user attacks by throwing a clump of special mud. All stat changes are returned to normal.,5,4,50,15,,0,10,3,305,,,,
500,stored-power,Stored Power,The user attacks the target with stored power. The more the user’s stats are raised the greater the move’s power.,5,14,20,10,100,0,10,3,306,,,,
501,quick-guard,Quick Guard,The user protects itself and its allies from priority moves.,5,2,,15,,3,4,1,307,,,,
502,ally-switch,Ally Switch,The user teleports using a strange power and switches places with one of its allies.,5,14,,15,,2,7,1,308,,,,
503,scald,Scald,The user shoots boiling hot water at its target. This may also leave the target with a burn.,5,11,80,15,100,0,10,3,5,30,,,
504,shell-smash,Shell Smash,The user breaks its shell which lowers Defense and Sp. Def stats but sharply raises its Attack Sp. Atk and Speed stats.,5,1,,15,,0,7,1,309,,,,
505,heal-pulse,Heal Pulse,The user emits a healing pulse that restores the target’s HP by up to half of its max HP.,5,14,,10,,0,10,1,310,,,,
506,hex,Hex,This relentless attack does massive damage to a target affected by status conditions.,5,8,65,10,100,0,10,3,311,,,,
507,sky-drop,Sky Drop,The user takes the target into the sky then drops it during the next turn. The target cannot attack while in the sky.,5,3,60,10,100,0,10,2,312,,,,
508,shift-gear,Shift Gear,The user rotates its gears raising its Attack stat and sharply raising its Speed stat.,5,9,,10,,0,7,1,313,,,,
509,circle-throw,Circle Throw,The target is thrown and a different Pokémon is dragged out. In the wild this ends a battle against a single Pokémon.,5,2,60,10,90,-6,10,2,314,,,,
510,incinerate,Incinerate,The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item such as a Berry the item becomes burned up and unusable.,5,10,60,15,100,0,11,3,315,,,,
511,quash,Quash,The user suppresses the target and makes its move go last.,5,17,,15,100,0,10,1,316,,,,
512,acrobatics,Acrobatics,The user nimbly strikes the target. If the user is not holding an item this attack inflicts massive damage.,5,3,55,15,100,0,10,2,318,,,,
513,reflect-type,Reflect Type,The user reflects the target’s type making it the same type as the target.,5,1,,15,,0,10,1,319,,,,
514,retaliate,Retaliate,The user gets revenge for a fainted ally. If an ally fainted in the previous turn this move’s power is increased.,5,1,70,5,100,0,10,2,320,,,,
515,final-gambit,Final Gambit,The user risks everything to attack its target. The user faints but does damage equal to its HP.,5,2,,5,100,0,10,3,321,,,,
516,bestow,Bestow,The user passes its held item to the target when the target isn’t holding an item.,5,1,,15,,0,10,1,324,,,,
517,inferno,Inferno,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.,5,10,100,5,50,0,10,3,5,100,,,
518,water-pledge,Water Pledge,A column of water strikes the target. When combined with its fire equivalent its power increases and a rainbow appears.,5,11,80,10,100,0,10,3,325,,,,
519,fire-pledge,Fire Pledge,A column of fire hits the target. When used with its grass equivalent its power increases and a vast sea of fire appears.,5,10,80,10,100,0,10,3,326,,,,
520,grass-pledge,Grass Pledge,A column of grass hits the target. When used with its water equivalent its power increases and a vast swamp appears.,5,12,80,10,100,0,10,3,327,,,,
521,volt-switch,Volt Switch,After making its attack the user rushes back to switch places with a party Pokémon in waiting.,5,13,70,20,100,0,10,3,229,,,,
522,struggle-bug,Struggle Bug,While resisting the user attacks the opposing Pokémon. This lowers the Sp. Atk stat of those hit.,5,7,50,20,100,0,11,3,72,100,,,
523,bulldoze,Bulldoze,The user strikes everything around it by stomping down on the ground. This lowers the Speed stat of those hit.,5,5,60,20,100,0,9,2,71,100,,,
524,frost-breath,Frost Breath,The user blows its cold breath on the target. This attack always results in a critical hit.,5,15,60,10,90,0,10,3,289,100,,,
525,dragon-tail,Dragon Tail,The target is knocked away and a different Pokémon is dragged out. In the wild this ends a battle against a single Pokémon.,5,16,60,10,90,-6,10,2,314,,,,
526,work-up,Work Up,The user is roused and its Attack and Sp. Atk stats increase.,5,1,,30,,0,7,1,328,,,,
527,electroweb,Electroweb,The user attacks and captures opposing Pokémon using an electric net. This lowers their Speed stat.,5,13,55,15,95,0,11,3,21,100,,,
528,wild-charge,Wild Charge,The user shrouds itself in electricity and smashes into its target. This also damages the user a little.,5,13,90,15,100,0,10,2,49,,,,
529,drill-run,Drill Run,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.,5,5,80,10,95,0,10,2,44,,,,
530,dual-chop,Dual Chop,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.,5,16,40,15,90,0,10,2,45,,,,
531,heart-stamp,Heart Stamp,The user unleashes a vicious blow after its cute act makes the target less wary. This may also make the target flinch.,5,14,60,25,100,0,10,2,32,30,,,
532,horn-leech,Horn Leech,The user drains the target’s energy with its horns. The user’s HP is restored by half the damage taken by the target.,5,12,75,10,100,0,10,2,4,,,,
533,sacred-sword,Sacred Sword,The user attacks by slicing with a long horn. The target’s stat changes don’t affect this attack’s damage.,5,2,90,15,100,0,10,2,304,,,,
534,razor-shell,Razor Shell,The user cuts its target with sharp shells. This may also lower the target’s Defense stat.,5,11,75,10,95,0,10,2,70,50,,,
535,heat-crash,Heat Crash,The user slams its target with its flame-covered body. The more the user outweighs the target the greater the move’s power.,5,10,,10,100,0,10,2,292,,,,
536,leaf-tornado,Leaf Tornado,The user attacks its target by encircling it in sharp leaves. This attack may also lower the target’s accuracy.,5,12,65,10,90,0,10,3,74,50,,,
537,steamroller,Steamroller,The user crushes its target by rolling over the target with its rolled-up body. This may also make the target flinch.,5,7,65,20,100,0,10,2,151,30,,,
538,cotton-guard,Cotton Guard,The user protects itself by wrapping its body in soft cotton which drastically raises the user’s Defense stat.,5,12,,10,,0,7,1,329,,,,
539,night-daze,Night Daze,The user lets loose a pitch-black shock wave at its target. This may also lower the target’s accuracy.,5,17,85,10,95,0,10,3,74,40,,,
540,psystrike,Psystrike,The user materializes an odd psychic wave to attack the target. This attack does physical damage.,5,14,100,10,100,0,10,3,283,,,,
541,tail-slap,Tail Slap,The user attacks by striking the target with its hard tail. It hits the target two to five times in a row.,5,1,25,10,85,0,10,2,30,,,,
542,hurricane,Hurricane,The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. This may also confuse the target.,5,3,110,10,70,0,10,3,334,30,,,
543,head-charge,Head Charge,The user charges its head into its target using its powerful guard hair. This also damages the user a little.,5,1,120,15,100,0,10,2,49,,,,
544,gear-grind,Gear Grind,The user attacks by throwing steel gears at its target twice.,5,9,50,15,85,0,10,2,45,,,,
545,searing-shot,Searing Shot,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.,5,10,100,5,100,0,9,3,5,30,,,
546,techno-blast,Techno Blast,The user fires a beam of light at its target. The move’s type changes depending on the Drive the user holds.,5,1,120,5,100,0,10,3,269,,,,
547,relic-song,Relic Song,The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.,5,1,75,10,100,0,11,3,330,10,,,
548,secret-sword,Secret Sword,The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.,5,2,85,10,100,0,10,3,283,,,,
549,glaciate,Glaciate,The user attacks by blowing freezing cold air at opposing Pokémon. This lowers their Speed stat.,5,15,65,10,95,0,11,3,331,100,,,
550,bolt-strike,Bolt Strike,The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.,5,13,130,5,85,0,10,2,7,20,,,
551,blue-flare,Blue Flare,The user attacks by engulfing the target in an intense yet beautiful blue flame. This may also leave the target with a burn.,5,10,130,5,85,0,10,3,5,20,,,
552,fiery-dance,Fiery Dance,Cloaked in flames the user dances and flaps its wings. This may also raise the user’s Sp. Atk stat.,5,10,80,10,100,0,10,3,277,50,,,
553,freeze-shock,Freeze Shock,On the second turn the user hits the target with electrically charged ice. This may also leave the target with paralysis.,5,15,140,5,90,0,10,2,332,30,,,
554,ice-burn,Ice Burn,On the second turn an ultracold freezing wind surrounds the target. This may leave the target with a burn.,5,15,140,5,90,0,10,3,333,30,,,
555,snarl,Snarl,The user yells as if it’s ranting about something which lowers the Sp. Atk stat of opposing Pokémon.,5,17,55,15,95,0,11,3,72,100,,,
556,icicle-crash,Icicle Crash,The user attacks by harshly dropping large icicles onto the target. This may also make the target flinch.,5,15,85,10,90,0,10,2,32,30,,,
557,v-create,V-create,With a hot flame on its forehead the user hurls itself at its target. This lowers the user’s Defense Sp. Def and Speed stats.,5,10,180,5,95,0,10,2,335,100,,,
558,fusion-flare,Fusion Flare,The user brings down a giant flame. This move’s power is increased when influenced by an enormous lightning bolt.,5,10,100,5,100,0,10,3,336,,,,
559,fusion-bolt,Fusion Bolt,The user throws down a giant lightning bolt. This move’s power is increased when influenced by an enormous flame.,5,13,100,5,100,0,10,2,337,,,,
560,flying-press,Flying Press,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.,6,2,100,10,95,0,10,2,338,,,,
561,mat-block,Mat Block,Using a pulled-up mat as a shield the user protects itself and its allies from damaging moves. This does not stop status moves.,6,2,,10,,0,4,1,377,,,,
562,belch,Belch,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.,6,4,120,10,90,0,10,3,339,,,,
563,rototiller,Rototiller,Tilling the soil the user makes it easier for plants to grow. This raises the Attack and Sp. Atk stats of Grass-type Pokémon.,6,5,,10,,0,14,1,340,100,,,
564,sticky-web,Sticky Web,The user weaves a sticky net around the opposing team which lowers their Speed stat upon switching into battle.,6,7,,20,,0,6,1,341,,,,
565,fell-stinger,Fell Stinger,When the user knocks out a target with this move the user’s Attack stat rises drastically.,6,7,50,25,100,0,10,2,342,,,,
566,phantom-force,Phantom Force,The user vanishes somewhere then strikes the target on the next turn. This move hits even if the target protects itself.,6,8,90,10,100,0,10,2,273,,,,
567,trick-or-treat,Trick-or-Treat,The user takes the target trick-or-treating. This adds Ghost type to the target’s type.,6,8,,20,100,0,10,1,343,,,,
568,noble-roar,Noble Roar,Letting out a noble roar the user intimidates the target and lowers its Attack and Sp. Atk stats.,6,1,,30,100,0,10,1,344,100,,,
569,ion-deluge,Ion Deluge,The user disperses electrically charged particles which changes Normal-type moves to Electric-type moves.,6,13,,25,,1,12,1,345,,,,
570,parabolic-charge,Parabolic Charge,The user attacks everything around it. The user’s HP is restored by half the damage taken by those hit.,6,13,65,20,100,0,9,3,346,,,,
571,forests-curse,Forest’s Curse,The user puts a forest curse on the target. The target is now Grass type as well.,6,12,,20,100,0,10,1,376,,,,
572,petal-blizzard,Petal Blizzard,The user stirs up a violent petal blizzard and attacks everything around it.,6,12,90,15,100,0,9,2,379,,,,
573,freeze-dry,Freeze-Dry,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.,6,15,70,20,100,0,10,3,380,10,,,
574,disarming-voice,Disarming Voice,Letting out a charming cry the user does emotional damage to opposing Pokémon. This attack never misses.,6,18,40,15,,0,11,3,381,,,,
575,parting-shot,Parting Shot,With a parting threat the user lowers the target’s Attack and Sp. Atk stats. Then it switches with a party Pokémon.,6,17,,20,100,0,10,1,347,100,,,
576,topsy-turvy,Topsy-Turvy,All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.,6,17,,20,,0,10,1,348,,,,
577,draining-kiss,Draining Kiss,The user steals the target’s HP with a kiss. The user’s HP is restored by over half of the damage taken by the target.,6,18,50,10,100,0,10,3,349,,,,
578,crafty-shield,Crafty Shield,The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.,6,18,,10,,3,4,1,350,,,,
579,flower-shield,Flower Shield,The user raises the Defense stat of all Grass-type Pokémon in battle with a mysterious power.,6,18,,10,,0,14,1,351,100,,,
580,grassy-terrain,Grassy Terrain,The user turns the ground to grass for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass type-moves.,6,12,,10,,0,12,1,352,,,,
581,misty-terrain,Misty Terrain,This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.,6,18,,10,,0,12,1,353,,,,
582,electrify,Electrify,If the target is electrified before it uses a move during that turn the target’s move becomes Electric type.,6,13,,20,,0,10,1,354,,,,
583,play-rough,Play Rough,The user plays rough with the target and attacks it. This may also lower the target’s Attack stat.,6,18,90,10,90,0,10,2,69,10,,,
584,fairy-wind,Fairy Wind,The user stirs up a fairy wind and strikes the target with it.,6,18,40,30,100,0,10,3,1,,,,
585,moonblast,Moonblast,Borrowing the power of the moon the user attacks the target. This may also lower the target’s Sp. Atk stat.,6,18,95,15,100,0,10,3,72,30,,,
586,boomburst,Boomburst,The user attacks everything around it with the destructive power of a terrible explosive sound.,6,1,140,10,100,0,9,3,379,,,,
587,fairy-lock,Fairy Lock,By locking down the battlefield the user keeps all Pokémon from fleeing during the next turn.,6,18,,10,,0,12,1,355,,,,
588,kings-shield,King’s Shield,The user takes a defensive stance while it protects itself from damage. It also harshly lowers the Attack stat of any attacker who makes direct contact.,6,9,,10,,4,7,1,356,,,,
589,play-nice,Play Nice,The user and the target become friends and the target loses its will to fight. This lowers the target’s Attack stat.,6,1,,20,,0,10,1,357,100,,,
590,confide,Confide,The user tells the target a secret and the target loses its ability to concentrate. This lowers the target’s Sp. Atk stat.,6,1,,20,,0,10,1,358,100,,,
591,diamond-storm,Diamond Storm,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply raise the user’s Defense stat.,6,6,100,5,95,0,11,2,359,50,,,
592,steam-eruption,Steam Eruption,The user immerses the target in superheated steam. This may also leave the target with a burn.,6,11,110,5,95,0,10,3,5,30,,,
593,hyperspace-hole,Hyperspace Hole,Using a hyperspace hole the user appears right next to the target and strikes. This also hits a target using a move such as Protect or Detect.,6,14,80,5,,0,10,3,360,,,,
594,water-shuriken,Water Shuriken,The user hits the target with throwing stars two to five times in a row. This move always goes first.,6,11,15,20,100,1,10,3,361,,,,
595,mystical-fire,Mystical Fire,The user attacks by breathing a special hot fire. This also lowers the target’s Sp. Atk stat.,6,10,75,10,100,0,10,3,72,100,,,
596,spiky-shield,Spiky Shield,In addition to protecting the user from attacks this move also damages any attacker who makes direct contact.,6,12,,10,,4,7,1,362,,,,
597,aromatic-mist,Aromatic Mist,The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.,6,18,,20,,0,3,1,363,,,,
598,eerie-impulse,Eerie Impulse,The user’s body generates an eerie impulse. Exposing the target to it harshly lowers the target’s Sp. Atk stat.,6,13,,15,100,0,10,1,62,,,,
599,venom-drench,Venom Drench,Opposing Pokémon are drenched in an odd poisonous liquid. This lowers the Attack Sp. Atk and Speed stats of a poisoned target.,6,4,,20,100,0,11,1,364,100,,,
600,powder,Powder,The user covers the target in a combustible powder. If the target uses a Fire-type move the powder explodes and damages the target.,6,7,,20,100,1,10,1,378,,,,
601,geomancy,Geomancy,The user absorbs energy and sharply raises its Sp. Atk Sp. Def and Speed stats on the next turn.,6,18,,10,,0,7,1,366,,,,
602,magnetic-flux,Magnetic Flux,The user manipulates magnetic fields which raises the Defense and Sp. Def stats of ally Pokémon with the Plus or Minus Ability.,6,13,,20,,0,13,1,367,,,,
603,happy-hour,Happy Hour,Using Happy Hour doubles the amount of prize money received after battle.,6,1,,30,,0,4,1,368,,,,
604,electric-terrain,Electric Terrain,The user electrifies the ground for five turns powering up Electric-type moves. Pokémon on the ground no longer fall asleep.,6,13,,10,,0,12,1,369,,,,
605,dazzling-gleam,Dazzling Gleam,The user damages opposing Pokémon by emitting a powerful flash.,6,18,80,10,100,0,11,3,1,,,,
606,celebrate,Celebrate,The Pokémon congratulates you on your special day!,6,1,,40,,0,7,1,370,,,,
607,hold-hands,Hold Hands,The user and an ally hold hands. This makes them very happy.,6,1,,40,,0,3,1,371,,,,
608,baby-doll-eyes,Baby-Doll Eyes,The user stares at the target with its baby-doll eyes which lowers its Attack stat. This move always goes first.,6,18,,30,100,1,10,1,365,,,,
