[Species]	[Gender]	[Name]	[Surname]	[ID Number]	[Birthday]	[Birthplace]	[Occupation]	[Orientation]	[Role]	[Position]	[Height/Length (Cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max (Cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[LV]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Igglybuff Jigglypuff Wigglytuff	Male	Jiji	Sora	P81438841	15/01/1991		Pukurin Guildmaster												Cipher		220	70	50	90	50	50	0	Normal Fairy	Flying	Quirky	Heart Scale (22): Temporarily turns one foe friendly ~ Defend Globe: Makes holder immune to Flying type ~ Fairium Z: Turns a Fairy move into Twinkle Tackle	Hyper Voice (90/SA/Normal) Hits all foes ~ Rest (Psychic) Sleep, heals 100% HP and all status conditions ~ Sing (Normal) 55% Sleep chance ~ Dazzling Gleam (80/SA/Fairy) Hits all foes	YooomTAH! (200/SA/Normal Fairy) 2X Damage to sleeping foes 	Competitive: +2 SA if a foe lowers one of the user's stats	Smiles Go For Miles: Completing a mission gives the whole team a huge stat boost.	None	Exceptional explorer, leader, and diplomat, surprisingly high IQ despite his childish demeanor, can come up with insane strategies and even befriend the most violent foes.	All work and no play makes him a dull tuff, walled by Shadow Pokemon.	
Jangmo-o Hakamo-o Kommo-o	Male			P63665378	16/01/1984																75	110	130	100	100	80	0	Dragon Fighting	Rock	Jolly	Kommonium Z: Turns Clanging Scales into Clangorous Soulblaze	Clanging Scales (110/SA/Dragon) -1 DF ~ Close Combat (120/AT/Fighting) -1 DF and SD ~ Stealth Rock (Rock) Hurts foes on switch-in ~ Drain Punch (75/AT/Fighting) Heals 50% Damage 	None	Soundproof: Immune to sound, shockwave, and vibration moves	Bargain: Items can be bought at a lower price from shops.	None	Powerful Z-Move, colorful coverage, can take a hit and also hit back.	Fairy types and status conditions.	
Jirachi	Female			P95478305	27/02/2009																100	100	100	100	100	100	0	Steel Psychic	Grass	Docile	Jirachium Z: Turns Doom Desire into Shining Shooting Star	Doom Desire (140/SA/Steel) Hits after 2 turns ~ Iron Head (80/AT/Steel) 30% Flinch Chance ~ Psychic (90/SA/Psychic) 10% chance -1 SD to foe ~ Meteor Mash (90/AT/Steel) 20% chance +1 AT	None	Serene Grace: Moves have 2X secondary effect	Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None	Great ability, and moves to match it, with great stats, all in all a great combination.	Type matchups will be a problem, even with her steel typing.	
Joltik Galvantula	Male			P13722937	12/08/1977			 													70	77	60	100	60	110	0	Bug Electric	Fairy	Calm	Bright Powder: Lowers foe's AC	Electroweb (55/SA/Electric) -1 SP to foe ~ Sticky Web (Bug) -1 SP, hits all foes, and on switch-in ~ String Shot (Bug) -2 SP to foe ~ Electro Ball (SA/Electric) Uses SP difference for damage calculation	None	Compound Eyes: +2 AC	Squeeze Out: The whole team can squeeze extra PP once per battle.	None	Cripples foes's speed before hitting hard with Electro Ball, fearsome if you're alone.	Cannot adapt to different situations, can't handle monster houses.	
Kartana	Unknown			P84265650	23/03/1971																50	200	130	50	30	110	0	Grass Steel	Dark	Naughty	Focus Sash: Resists OHKO's with 1 HP left. 	Leaf Blade (90/AT/Grass) +1 Crit chance ~ Sacred Sword (90/AT/Fighting) Ignores stat changes ~ Smart Strike (70/AT/Steel) Never misses ~ Razor Leaf (55/AT/Grass) +1 Crit chance, hits all foes	None	Beast Boost: +1 highest stat for each foe defeated	Link Boost: The power of linked moves is boosted.	None	Nearly unstoppable sweeper, can slice physical tanks with ease.	Will almost always go down in one hit without Focus Sash.	
Keldeo	Male	Lewis	Kelpie	H52656156	11/01/2007	WOD, UK, Scotland, Edinburgh	Swords Of Justice Leader	Bi	Sub	Top	137	42	60	Helvetica Neue #6de7e9	Landon McDonald/Atsushi Abe	Highly curious	ENFJ	Pokemon, Tengoku, Swords Of Justice	Tensei, Fainting, Sleeping	White fur, blue hair, purple accents	91	71	91	131	91	111	214	Water Fighting	Fairy	Naive	Savior Cape: +1 DF and SD for each teammate wearing a Savior Cape ~ Justice Emblem: Allows the holder to perform Team Attacks when alone, by summoning another Pokemon's spirit. ~ Resokelium Z: Turns Secret Sword into Buster Sword	Sacred Sword (90/AT/Fighting) Ignores stat changes ~ Secret Sword (85/SA/Fighting) Uses foe's DF instead of SD ~ Scald (80/SA/Water) 30% Burn chance ~ Hydro Pump (110/SA/Water)	One For All (Fighting) Doubles power of moves with Sword in the name	Justified: +1 AT if hit by Dark move	Funnel Fun: Corridors restore HP faster.	Resolution: Form Change Enlightenment	Unstoppable with other Swords Of Justice, Dark types don't have any chance against him.	Copying what he does seems to throw him off hard.	Crush: Mocha Otonanou
Kyogre	Male	Leviathan	Mikado	P11020341	??/??/????	WOL, Mystery Continent	Weather Guard Leader	Hetero	Dom	Top	488	360	87	Classica #0935c8	Peter Beckman/Kenta Miyake	Very finicky	ESTP	Unknown	Unknown	White parts are pink.	100	100	90	150	140	90	182	Water	Ice	Quirky	Blue Orb: Grants Primal Reversion ~ Aqua Monica: +1 SA and SP when held by Kyogre	Origin Pulse (110/SA/Water) ~ Liquidation (85/AT/Water) 20% chance -1 DF to foe ~ Ice Beam (90/SA/Ice) 10% Freeze chance ~ Water Spout (150/SA/Water) Lower HP Decreases Power	Torrential Flood (400/SA/Water Electric Ice) 1 turn charge, three types at once	Drizzle: Triggers Rain Dance	Small Stomach: Anyone in the team can fill up their belly with any food.	Primal Reversion: Form Change Enlightenment	A Primal Kyogre using Torrential Flood is probably the last thing you will see.	Rayquaza and other Flying type sweepers.	"Broo": Behemoth Mikado ~ Rival: Ziz Mikado
Kyurem	Unknown	Wuji	Zettairedo	P87437405	??/??/????	WOL, Mystery Continent	Mystery Continent Dungeon Keeper	Unknown	Unknown	Unknown	301	324	132	Bodoni #8db8dd	Dave Fennoy/Mitsuru Ogata	Likes to trash about	INFJ	Unknown	Unknown	Gray, yellow, black and white spots are green.	130	135	90	130	90	95	223	Dragon Ice	Dragon	Brave	DNA Splicer: A wedge that can fuse a Kyurem with a Reshiram or a Zekrom. ~ God Stone: Reverts Kyurem to God Orb, making it unable to move, but immune to damage	Glaciate (65/SA/Ice) -1 SP to foe ~ Scary Face (Normal) -2 SP to foe ~ Ice Beam (90/SA/Ice) 10% Freeze chance ~ Roost (Flying) Heals 50% HP, removes Levitate	Frozen Blood (Ice) 50% OHKO chance	Pressure: Foes use 2X PP	Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	Fusion: Form Change Enlightenment	If fused with a Reshiram or Zekrom, Wuji becomes a black hole of heroics, you will freeze both in body and spirit.	Splicing him apart usually gets him destroyed by said Reshiram or Zekrom.	Rivals: Shiro Ryuumouto, Kuro Ryuuniki
Lapras	Female			P27328982	05/08/1970																130	80	95	80	95	60	0	Water Ice	Fairy	Modest	Float Stone: Halves weight of holder	Freeze-Dry (70/SA/Ice) 10% freeze chance, 2X damage on water types ~ Waterfall (80/AT/Water) 20% flinch chance ~ Horn Drill (AT/Normal) 30% OHKO chance, fails if foe is higher level ~ Whirlpool (35/SA/Water) Traps and damages for 4-5 turns.	None	Water Absorb: 25% HP heal when hit by water type	Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None	She's um, great for transporting teams across dangerous unexplored seas.	Type matchups, faster foes, field hazards...	
Larvesta Volcarona	Female			P67755572	01/10/1981																85	65	65	140	100	100	0	Bug Fire	Fairy	Timid	Destiny Knot: Reflects Infatuation	Quiver Dance (Bug) +1 SA, SD, SP ~ Fiery Dance (80/SA/Fire) 50% chance +1 SA ~ Fire Blast (110/SA/Fire) 10% burn chance, might miss ~ Roost (Flying) Heals 50% HP, removes Levitate	None	Flame Body: 30% burn chance on contact	Brawl: Teammates get a bit stronger when there are many foes.	Neon Gene: Can be activated any time, 2X SP	Quiver Dance with a Mugen Gene is a combination that could end long range battles in seconds.	Physical sweepers, priority moves.	
Larvitar Pupitar Tyranitar	Male			P72793150	06/03/2004																100	140	110	90	100	60	0	Rock Ground Dark	Grass	Rash	Tyranitarite: Triggers Megaevolution	Stealth Rock (Rock) Hurts foes on switch-in ~ Stone Edge (100/AT/Rock) +1 Crit chance ~ Rock Slide (75/AT/Rock) 30% Flinch chance ~ Crunch (80/AT/Dark) 20% chance -1 DF to foe	None	Sand Stream: Summons sandstorm on switch-in	Forge a Path: Consumes Belly to break down walls.	Megaevolution: Form Change Enlightenment	When megaevolved in a sandstorm, truly unstoppable, breaks several walls and smacks down sweepers.	Slow, can't handle some type matchups too well.	
Latias	Female	Floras	Overfield	H15067769	15/06/2000	WOD, Italy, Lombardy, Monza	Unknown	Bi	Sub	Bottom	129	33	64	Onryou #ebbe11	Lisa Ortiz/Kazuna Sayaka	Impetuous and silly	INFP	Nothing: Generated AI	Nothing: Generated AI	Yellow pointy triangles on wings, paws, chest, and fins.	70	90	100	110	130	150	12	Dragon Psychic Fire	Flying	Bashful	Roselily: A parting gift. Grants Immunity to Insane ~ Latiasite: Grants Megaevolution ~ Latiosite: Grants Megaevolution	Calm Mind (Psychic) +1 SA and SD ~ Mist Ball (70/SA/Psychic) 50% Chance -1 SA to foe ~ Stored Power (20/SA/Psychic) +20 with each stat boost ~ Roost (Flying) Heals 50% HP, removes Levitate	Burnout (200/SA/Fire) Burns user, foes, and even teammates	Levitate: Immune to Ground Type	PP Siphon: Drains PP from an enemy.	Megaevolution: Form Change Enlightenment	Would have been unstoppable with any Latios as teammate...	...If she ever existed.	Boyfriend: Flaros Overfield
Latios	Male	Flaros	Overfield	H95287268	09/09/1998	WOD, Italy, Lombardy, Pavia	Haruna Fujisancho Administrator	Bi	Dom	Top	211	64	66	Hakidame #1105f5	Steven Ogg/Take Tora	Alert to sounds	INTP	Friends, Affection, Games	Himself, Himself, Himself	Red and black triangles on chest and wings, head pattern fuses with back pattern.	70	100	90	130	110	150	14	Dragon Psychic Fire	Flying	Docile	Soul Dew: Boosts Dragon and Psychic moves if held by Latias or Latios ~ Eon Flute: +2 SP if held by Latias or Latios ~ Enigma Stone: +50% HP if held by Latias or Latios	Calm Mind (Psychic) +1 SA and SD ~ Luster Purge (70/SA/Psychic) 50% Chance -1 SD to foe ~ Stored Power (20/SA/Psychic) +20 with each stat boost ~ Roost (Flying) Heals 50% HP, removes Levitate	Burnout (200/SA/Fire) Burns user, foes, and even teammates	Levitate: Immune to Ground Type	PP Siphon: Drains PP from an enemy.	Megaevolution: Form Change Enlightenment	Would have been unstoppable with any Latias as teammate...	...If he wasn't completely mindbroken.	Lie: Floras Overfield ~ Trainer: Jiyu Einni ~ Friends: Matilde Quemar, Nirvana Moksha, Cefca Pagliaccio, Glacialis Vicis
Lillipup Herdier Stoutland	Male			P11155524	05/02/1993																90	110	90	50	90	80	0	Normal	Poison	Careful	Normalium Z: Turns a Normal move into Breakneck Blitz ~ Silk Scarf: Boosts Normal moves	Facade (70/AT/Normal) 2X power if user has status condition ~ Giga Impact (150/AT/Normal) 1 turn recharge ~ Double Team (Normal) +1 EV ~ Substitute (Normal) -25% HP, summons substitute	None	Scrappy: Removes Ghost type immunities	Bargain: Items can be bought at a lower price from shops.	None	Can do serious damage with his Z-move, and can take a hit when needed.	Faster foes and steel types can check him.	
Litten Torracat Incineroar	Male			P40573995	11/01/2007																95	115	90	80	90	60	0	Fire Dark	Electric	Lax	Incinium Z: Turns Darkest Lariat into Malicious Moonsault	Darkest Lariat (85/AT/Dark) Ignores stat changes ~ Flare Blitz (120/AT/Fire) 33% recoil, 10% burn chance ~ Bulk Up (Fighting) +1 AT and DF ~ Power Trip (10/AT/Dark) Each stat boost multiplies damage by 2.	None	Intimidate: -1 AT to foe	Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	None	Master of stat manipulation, fights dirty and doesn't leave foes a chance to defend themselves.	Field and weather hazards, water types.	
Litwick Lampent Chandelure	Male			H13132009	20/11/1979		Archivist														60	55	90	150	90	80	0	Ghost Fire Steel	Fighting	Hardy	Glass Case: Grants Immunity to Water type	Calm Mind (Psychic) +1 SA and SD ~ Shadow Ball (80/SA/Ghost) 20% -1 SD to foe ~ Confuse Ray (Ghost) Causes confusion ~ Will-O-Wisp (Fire) Burns the target	None	Infiltrator: Ignores Substitutes and Barriers	Bargain: Items can be bought at a lower price from shops.	None	Massive special attack and the ability to sabotage with status conditions and debuffs makes underestimating him a huge mistake.	Faster foes and trappers, completely walled by Hydreigon in particular.	
Lugia	Male	Ryuujin	Estrus	P22204428	??/??/????	WOL, Mystery Continent	Ocean Guard Leader	Bi	Dom	Top	600	341	204	Criticized #a8bde2	Christopher Bevins/Toru Okawa	Somewhat stubborn	ESFP	Ho-Ohs, Typhlosions, Sex	Shadows, Cipher, Lugias	Cyan instead of blue.	105	90	130	90	155	110	189	Psychic Flying	Water	Naive	Silver Koto: Triggers War Mist when played. ~ Sacred Ash (23): Can only be used by Ho-Oh and Lugia, fully Revives Pokemon ~ Tidal Bell: +50% HP if held by Lugia	Aeroblast (100/SA/Flying) +1 Crit chance ~ Roost (Flying) Heals 50% HP, removes Levitate ~ Dragon Tail (60/AT/Dragon) Forces foe to switch places ~ Psychic (90/SA/Psychic) 10% chance -1 SD to foe	Whale Darkness (Water) Requires War Mist, removes and blocks all healing, reviving, and buffs	Multiscale: -50% damage at full HP	Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	War Mist: +1 DF or SD every turn	Makes you wonder how it is possible you feel less bulky around him.	Once you figure out his tricks, they're easy to avoid.	Sister: Fenhuang Estrus
Lunala	Female	Peahina	Houkuu	P33139627	??/??/????	WOL, Mystery Continent	Ultra Wormhole Guard Leader	Hetero	Sub	Bottom	395	117	100	Sabor #6434c4	Xanthe Huynh/Ai Kayano	Thoroughly cunning	ISFJ	Kyogres, Necrozmas, Nights	Solgaleos, Space, Ultra Beasts	Yellow, orange, and red spots are magenta.	137	117	87	137	107	97	193	Psychic Ghost Ice	Dark	Rash	N-Solarizer: A machine to separate a Necrozma from a Solgaleo. ~ Lunalium Z: Turns Moongeist Beam into Menacing Moonraze Maelstrom ~ Moon Flute: +2 SP if held by Lunala	Moongeist Beam (100/SA/Ghost) Ignores abilities ~ Psyshock (80/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Moonblast (95/SA/Fairy) 30% chance -1 SA to foe	Lunar Eclipse (Psychic) Requires Solar Eclipse in same turn, Heals 50% HP per turn	Shadow Shield: -50% damage at full HP	Collective Strike: All teammates have the same speed stat as the fastest teammate.	Full Moon: Form Change Enlightenment	Very powerful moveset, can easily ignore her subpar typing.	Could do better with a Solgaleo teammate, which she hates.	Brother: Lailona Houkuu ~ Friend: Cavum Nirum
Mareep Flaaffy Ampharos	Male			P92037653	24/09/1985																90	70	90	110	90	70	0	Electric	Water	Sassy	Ampharosite: Triggers Megaevolution ~ Connection Orb: Scans a Pokemon's connections ~ Golden Looplet: Holds Emeras	Volt Switch (70/SA/Electric) Switches with teammate ~ Discharge (80/SA/Electric) 30% Paralysis Chance, hits all foes ~ Cotton Guard (Grass) +3 DF ~ Outrage (120/AT/Dragon) Lasts 3 turns, Confuses user	None	Dashing: +1 Priority if hit by Electric type	Long Range Rescue: The team can rescue a Pokemon just by being in the same floor.	Megaevolution: Form Change Enlightenment	Impressive moveset, also great at leading large teams.	Gets lost often, which is kind of embarrassing for an Ampharos...	
Mareep Flaaffy Ampharos	Female			H58051660	14/05/1972																90	70	80	130	90	50	0	Normal	Ground	Gentle	Ampharosite: Triggers Megaevolution ~ Choice Ribbon: +1 Crit, but can only choose one move ~ Secret Potion (3): Can only be used by Ampharos, fully Revives Pokemon	Mega Kick (120/AT/Normal) Might miss ~ Echoed Voice (40/SA/Normal) Power increases if used many times in a row ~ Hyper Beam (150/SA/Normal) 1 turn recharge ~ Bulldoze (60/AT/Ground) -1 SP to foe, hits all foes	None	Static: 30% Paralysis chance if hit by physical move	Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	Megaevolution: Form Change Enlightenment	Her unusual Delta typing grants her immense bait and sweep potential.	Only uses offensive moves, requires a cleric teammate to function well.	
Marshadow	Male	Jake	Northstar	P96433531	26/01/2006	WOD, USA, Illinois, Chicago	Martial Arts Training Chief	Unknown	Sub	Bottom	60	22	???	Samdan #262c29	Zach Galiflanakis/Takehito Koyasu	Likes to run	ISTP	Nuricom Alliance, Fighting, Anime	Ghost Types, Fighting Types, Normal Types	Flames and eyes are purple.	90	120	90	90	90	120	254	Fighting Ghost	Electric	Lonely	Life Orb: Drains HP to power up moves. ~ Black Belt: Boosts Fighting Moves ~ Marshadium Z: Turns Spectral Thief into Soul Stealing 7 Star Strike	Spectral Thief (90/AT/Ghost) Steals foe's boosts ~ Close Combat (120/AT/Fighting) -1 SD ~ Shadow Sneak (40/AT/Ghost) +1 Priority ~ Phantom Hand (Ghost) Foe can't move the next turn	Rending Fists (33/AT/Fighting Ghost) Hits ? times, causes Insane	Technician: Moves below 60 power do 50% extra damage	PP Siphon: Drains PP from an enemy.	Zenith: Form Change Enlightenment	Powerful alone, powerful in a team, trained by Codd to be a fantastic martial artist, passing down the art of leading to aspiring explorers.	Not the best reaction times, and kinda frail.	Mentor: Codd Branford ~ Friend: Zephyr Edda
Mawile	Female		Limestone	P96487310	26/10/1998																45	111	80	55	55	45	0	Steel Fairy	Dragon	Sassy	Mawilite: Triggers Megaevolution	Swords Dance (Normal) +2 AT ~ Foul Play (95/AT/Dark) Uses foe's AT for damage calculation ~ Iron Head (80/AT/Steel) 30% Flinch chance ~ Play Rough (90/AT/Fairy) 10% chance -1 AT to foe	None	Hyper Cutter: Prevents foes from lowering user's AT	Riled Up: Boosts AT and SA once when hit by an enemy.	Megaevolution: Form Change Enlightenment	Her megaevolution's horrifying ability can make battles last seconds.	Glass cannon, faster foes, crippled by burn.	
Meditite Medicham	Female		Limestone	P14564578	28/01/2004																60	80	80	60	80	70	0	Fighting Psychic	Water	Careful	Bounce Band: Bounces thrown items back to foe	Fake Out (40/AT/Normal) +3 Priority, causes flinch, first turn only ~ High Jump Kick (130/AT/Fighting) 50% recoil if it misses ~ Zen Headbutt (80/AT/Psychic) 20% Flinch chance ~ Brick Break (75/AT/Fighting) Destroys barriers and parries	None	Telepathy: Immune to friendly fire	PP Siphon: Drains PP from an enemy.	Megaevolution: Form Change Enlightenment	Her megaevolution's horrifying ability can make battles last seconds.	Glass cannon, faster foes, crippled by burn.	
Meloetta	Female			P80867638	04/04/1979		Pole Dancer?														100	77	77	128	128	90	0	Normal Psychic 	Fairy	Hardy	Music Box: Stores Songs	Relic Song (75/SA/Normal) 10% Sleep chance, triggers Reliquia ~ Relic Dance (75/AT/Normal) 10% Confusion chance, triggers Reliquia ~ Drain Punch (75/AT/Fighting) Heals 50% damage ~ Psychic (90/SA/Psychic) 10% chance -1 SD to foe	None	Serene Grace: Moves have 2X secondary effect	Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	Reliquia: Form Change Enlightenment	Switches back and forth between two forms to disorient foes, uses her moves's secondary effects to their fullest potential.	Choice item users and dark types.	
Mew	Both?	Libidine	Ludibrium	P14378192	07/09/1164	WOL, Unknown	Geneticist	Bi	Switch	Switch	36	3	???	Mona Lisa #e79cd1	Marieve Herington/Aoi Yuuki	Loves to eat	ESFP	Sex, Genetics, Eating	Being asked by someone to change gender	Magenta instead of white pink, deep blue eyes and toes.	100	100	100	100	100	100	255	Psychic	Flying	Quirky	Mewnium Z: Turns Psychic into Genesis Supernova. ~ Leftovers: Slowly restores HP. ~ White Cornet: +1 to all stats if held by Mew	Transform (Normal) Turns into clone of the foe ~ Psychokinesis (100/???/Psychic) Uses AT or SA based on foe's stats ~ Future Sight (120/SA/Psychic) Hits the next turn ~ Psychic (90/SA/Psychic) 10% chance -1 SD to foe	Boring! (Parry/Psychic) Immune to damage, copies foe's move with 4X damage 	Synchro Bounce: Reflects stat debuffs and status conditions	Reality Bending: Teammates's moves always hit regardless of distance or accuracy.	Mugenono: Nullifies Mugen Genes	An absolutely adorable and absolutely terrifying esper. Instead of lifting you, they will lift the continent below you.	Can get lazy and pessimist in the most dire situations.	Friend: Cavum Nirum, Codd Branford ~ Pupils: Myuuichi Jikken, Myuurei Jikken
Mewtwo	Female	Myuuichi	Jikken	P21773830	25/03/2020	WOD, Unknown	Gene Tester	Hetero	Sub	Bottom	200	122	???	Galaxy #844484	Brittney Lee Harvey/Yukana Nogami	Likes to fight	ESTJ	Fighting, Training, Special Moves	Physical Moves, Ghosts, Humans	Slightly more blue.	100	120	120	140	140	100	200	Psychic Fairy	Rock	Mild	Mewtwonite Y: Grants Megaevolution Y ~ Twisted Spoon: Boosts Psychic moves ~ Wisdom Crown: +1 SA	Psystrike (100/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Me First (Normal) If user is faster, copies foe's move with +50% damage ~ Moon Cannon (150/SA/Fairy) 1 turn recharge	Gigabar Pressure (Psychic) Blocks all foe's moves, items, and PP restoration	Pressure: Foes use 2X PP	Link Boost: The power of linked moves is boosted.	Iron Gene: Can be activated any time, 2X DF	Trained by Libidine to be a disorienting special powerhouse.	Scared of ghosts?	Mentor: Libidine Ludibrium ~ Brother: Myuurei Jikken
Mewtwo	Male	Myuurei	Jikken	P61543177	25/03/2020	WOD, Unknown	Gene Tester	Hetero	Dom	Top	200	122	???	Fusion #844484	Erik Kimerer/Masaya Fukunishi	Hates to lose	ENTP	Fighting, Training, Physical Moves	Special Moves, Ghosts, Humans	Slightly more red.	100	140	140	120	120	100	200	Psychic Fighting	Ground	Naughty	Mewtwonite X: Grants Megaevolution X ~ Twisted Spoon: Boosts Psychic moves ~ Persistence Crown: +1 SD	Psystrike (100/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Me First (Normal) If user is faster, copies foe's move with +50% damage ~ Solar Strike (150/AT/Fighting) 1 turn recharge	Gigabar Pressure (Psychic) Blocks all foe's moves, items, and PP restoration	Unnerve: Foes can't use items	Link Boost: The power of linked moves is boosted.	Carbon Gene: Can be activated any time, 2X SD	Trained by Libidine to be a disorienting physical powerhouse.	Scared of ghosts?	Mentor: Libidine Ludibrium ~ Sister: Myuuichi Jikken
Mienfoo Mienshao	Female	Sheng	Zhandou	H37472737	08/12/1984	WOD, China, Hebei, Beijing	Vice-President of Nuricom Alliance	Hetero	Switch	Bottom	138	31	40	Parmapetit #f3f1a3	Jessica D. Stone/Makoto Tsumura	A little quick tempered	ENTJ	Codd, Fighting, Nuricom Alliance	Codd, Fighting, Nuricom Alliance	Cyan instead of purple, magenta eyes and whiskers.	256	130	60	90	60	130	219	Fighting 	Fighting	Bashful	Fightinium Z: Turns a Fighting move into All Out Pummeling	High Jump Kick (130/AT/Fighting) 50% Recoil if it misses ~ Fake Out (50/AT/Normal) Causes flinch, first turn only ~ Sleeve Kiai (Parry/Fighting) If hit, causes Confusion ~ Reversal (200/AT/Fighting)  Higher HP decreases power	Hishou Senpuu Ken (50/AT/Fighting) Hits 5 times, foe flies 1 turn, 50% recoil if it misses	Counter Strike: Moves never miss parried opponents	Recoil Boost: Moves that recoil do 2X damage.	Nitrogen Gene: Can be activated any time, 2X AC	If she parries one of your moves, it's time to think about how many Reviver Seeds you're gonna need for this one.	Very reckless, if she misses she can get hurt a lot more than others.	Husband: Codd Branford
Mienfoo Mienshao	Male	Julian	Mach	P26334516	24/01/2004	WOL, Mist Continent	Unknown	Bi	Dom	Top	138	33	36	Kurosawa #04bb2d	Robert Clotworthy/Katsuhro Harada	Impetuous and silly	ESTP	Meditation, Fasting, Nature	Anxiety, Buffets, Huge Cities	Black and white.	65	125	65	95	65	105	153	Fighting 	Psychic	Bold	Assault Vest: Boosts SD, but cannot use status moves	High Jump Kick (130/AT/Fighting) 50% Recoil if it misses ~ Knock Off (65/AT/Dark) 50% Damage if foe holds item, knocks off item ~ Fake Out (40/AT/Normal) Only hits first turn, +3 Priority, Causes Flinching ~ Pulsing Core (10/SA/Fighting) Disables foe's move	None	Inner Focus: Immune to flinch	Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None	Wouldn't harm a mosquito. Unless it bit him. Then that mosquito becomes mosquito powder.	Frail in body and spirit, surprisingly.	
Milotic	Female			P38765662	04/03/2001																105	60	80	100	125	80	0	Water	Flying	Relaxed	Joy Ribbon: 2X XP	Recover (Normal) Heals 50% Max HP ~ Refresh (Normal) Heals status conditions ~ Scald (80/SA/Water) 30% Burn chance ~ Haze (Ice) Resets all stats for all Pokemon nearby 	None	Cute Charm: 30% Infatuation chance on contact	Warmth: 50% chance of a teammate not fainting if another teammate is right next to it.	None	Decent tank, recovers quickly, great Rare Quality.	Taunt and Trick users, Swagger, and Electric types.	
Milotic	Male			P25364044	17/06/1986																100	60	80	110	120	80	0	Dragon	Fighting	Mild	Prism Scale: +1 SD and EV when held by Milotic ~ Beauty Scarf: +1 SD and AC when held by Milotic	Dragon Pulse (85/SA/Dragon) ~ Twister (40/SA/Dragon) 20% flinch chance, never misses ~ Dragon Tail (60/AT/Dragon) Launches foe away ~ Brine (65/SA/Water) 2X damage if foe has less than 50% HP	Draco Geyser (200/SA/Water Dragon) 10% Burn chance	Competitive: +2 SA if a foe lowers one of the user's stats	Tight Formation: The more team members, the lower the damage from wide-ranging moves.	None	Delta type, fights pretty much identical to a Dragon, with an added ability of drowning foes.	Status conditions, and surprisingly, Fairy types.	
Minccino Cinccino	Female			P63046529	11/08/2006																75	100	66	66	66	110	0	Normal	Ice	Bashful	Air Balloon: Immunity to Ground type moves, pops if hit	Snore (50/SA/Normal) 30% Flinch chance, must be asleep ~ Shockwave (60/SA/Electric) Never misses ~ Covet (60/AT/Normal) Steals foe's item ~ Rest (Psychic) Sleep 2 turns, heals HP and status	None	Technician: Moves below 60 power do 50% extra damage	Sales Pitch: The team can sell items at higher price.	Surprise!: If it's their birthday, the foe instantly joins the team, even if they're Shadow, or Insane	Incredible diplomat, and can also dish out some heavy hits if the foe is impossible to reason with.	Very frail, won't make it far if alone.	
Minccino Cinccino	Male			P28327960	31/07/1985																75	90	66	66	66	120	0	Grass	Psychic	Calm	Friend Gift (3): Insta-Recruits Pokemon	Tail Slap (25/AT/Normal) Hits 2-5 times ~ Bullet Seed (25/AT/Grass) Hits 2-5 times ~ After You (Normal) +2 Priority, gives +1 Priority to teammate ~ Seed Bomb (80/AT/Grass)	None	Skill Link: Multi-hit moves never miss	Evasive Rhythm: The team can dodge multi hit attacks much easier.	None	Delta type, master of Multi-hit moves, doesn't even need a Rapid Bullseye teammate due to his ability.	Can't switch in effectively, VERY afraid of cold.	
Minun	Male	Kira		P91514131	21/11/2000																60	40	50	75	85	95	0	Electric	Rock	Docile	Electric Seed: +1 DF in Electric Terrain	Helping Hand (Normal) +50% PW to teammate's move ~ Encore (Normal) Foe has to use same move for 3 turns ~ Charge (Electric) +1 SD, next turn's Electric move has 2X damage ~Spark (65/AT/Electric) 30% Paralysis chance	None	Minus: Teammates with the Plus ability get 2X SP	Link Boost: The power of linked moves is boosted.	None	Um... surprisingly strong when paired with Kari.	Everything.	
